Wavelength (nm),Non protected Aluminum: NiCr + Al,Protected Aluminum: NiCr + Al + SiN4 (2nm),M2 protected Silver (average of 6 witness samples)
617,90.44,89.70,98.51
616,90.44,89.71,98.50
615,90.45,89.72,98.50
614,90.46,89.73,98.49
613,90.48,89.75,98.48
612,90.49,89.76,98.48
611,90.50,89.77,98.48
610,90.51,89.78,98.49
609,90.52,89.78,98.47
608,90.52,89.80,98.47
607,90.53,89.80,98.48
606,90.56,89.83,98.48
605,90.56,89.83,98.47
604,90.57,89.84,98.47
603,90.58,89.85,98.47
602,90.59,89.87,98.47
601,90.61,89.87,98.47
600,90.61,89.88,98.48
599,90.61,89.89,98.48
598,90.62,89.91,98.47
597,90.65,89.92,98.47
596,90.62,89.93,98.47
595,90.65,89.93,98.45
594,90.66,89.95,98.46
593,90.68,89.95,98.45
592,90.67,89.96,98.44
591,90.67,89.98,98.43
590,90.70,89.98,98.43
589,90.70,89.99,98.43
588,90.71,90.01,98.42
587,90.73,90.01,98.42
586,90.73,90.03,98.42
585,90.75,90.04,98.41
584,90.74,90.04,98.39
583,90.75,90.05,98.40
582,90.77,90.07,98.38
581,90.78,90.07,98.38
580,90.78,90.09,98.37
579,90.79,90.10,98.37
578,90.79,90.11,98.36
577,90.82,90.10,98.36
576,90.81,90.13,98.35
575,90.82,90.13,98.35
574,90.83,90.14,98.34
573,90.84,90.14,98.33
572,90.85,90.15,98.32
571,90.86,90.16,98.31
570,90.85,90.17,98.32
569,90.88,90.19,98.30
568,90.87,90.20,98.30
567,90.89,90.20,98.29
566,90.91,90.22,98.29
565,90.90,90.22,98.28
564,90.90,90.25,98.28
563,90.93,90.25,98.26
562,90.94,90.25,98.26
561,90.94,90.24,98.26
560,90.94,90.26,98.25
559,90.95,90.27,98.24
558,90.96,90.28,98.23
557,90.97,90.29,98.23
556,90.98,90.28,98.22
555,90.99,90.29,98.22
554,90.99,90.31,98.21
553,90.97,90.31,98.20
552,90.99,90.33,98.19
551,91.00,90.33,98.20
550,91.01,90.34,98.18
549,91.03,90.34,98.18
548,91.03,90.35,98.17
547,91.04,90.38,98.18
546,91.04,90.37,98.16
545,91.06,90.38,98.15
544,91.05,90.38,98.15
543,91.06,90.40,98.13
542,91.06,90.40,98.13
541,91.07,90.41,98.12
540,91.08,90.41,98.12
539,91.06,90.42,98.11
538,91.08,90.42,98.10
537,91.10,90.43,98.10
536,91.10,90.44,98.09
535,91.10,90.44,98.09
534,91.12,90.45,98.07
533,91.12,90.46,98.07
532,91.12,90.45,98.06
531,91.12,90.46,98.05
530,91.14,90.48,98.05
529,91.13,90.48,98.04
528,91.15,90.48,98.03
527,91.15,90.50,98.03
526,91.16,90.50,98.02
525,91.16,90.50,98.01
524,91.15,90.51,98.00
523,91.18,90.53,97.99
522,91.18,90.54,97.98
521,91.19,90.54,97.98
520,91.21,90.54,97.96
519,91.20,90.56,97.96
518,91.21,90.56,97.95
517,91.21,90.56,97.94
516,91.21,90.57,97.93
515,91.22,90.57,97.92
514,91.22,90.59,97.91
513,91.23,90.59,97.91
512,91.24,90.59,97.89
511,91.25,90.60,97.88
510,91.25,90.61,97.88
509,91.25,90.62,97.86
508,91.26,90.63,97.86
507,91.26,90.64,97.84
506,91.27,90.63,97.83
505,91.27,90.66,97.82
504,91.29,90.65,97.81
503,91.29,90.65,97.80
502,91.28,90.66,97.79
501,91.29,90.65,97.78
500,91.30,90.67,97.77
499,91.30,90.68,97.75
498,91.30,90.69,97.74
497,91.31,90.71,97.74
496,91.32,90.69,97.73
495,91.32,90.70,97.72
494,91.33,90.70,97.71
493,91.35,90.73,97.70
492,91.34,90.73,97.68
491,91.34,90.72,97.67
490,91.34,90.74,97.66
489,91.35,90.72,97.64
488,91.36,90.75,97.63
487,91.36,90.74,97.61
486,91.38,90.75,97.61
485,91.37,90.76,97.59
484,91.37,90.77,97.58
483,91.38,90.78,97.57
482,91.38,90.78,97.56
481,91.38,90.78,97.54
480,91.40,90.79,97.53
479,91.39,90.79,97.51
478,91.40,90.79,97.49
477,91.41,90.81,97.48
476,91.42,90.82,97.46
475,91.40,90.82,97.45
474,91.41,90.81,97.44
473,91.43,90.82,97.42
472,91.44,90.83,97.39
