,,A Comparisons of Thorlabs' Thin Film Aluminum Mirror Coatings,,,
,,UV-Enhanced Aluminum (-F01),,Protected Aluminum (-G01),
,,Wavelength (µm),Reflectance (%),Wavelength (µm),Reflectance (%)
,,3.98892,96.70223,4.00881,95.156
,,3.99887,96.68521,4.019,95.1559
,,4.00881,96.6681,4.02893,95.15587
,,4.019,96.65045,4.03885,95.15588
,,4.02893,96.63316,4.04876,95.15594
,,4.03885,96.61578,4.05892,95.15606
,,4.04876,96.59832,4.06882,95.15622
,,4.05892,96.58033,4.07896,95.15643
,,4.06882,96.56272,4.08885,95.15669
,,4.07896,96.54458,4.09872,95.15699
,,4.08885,96.52683,4.10884,95.15735
,,4.09872,96.50901,4.1187,95.15774
,,4.10884,96.49067,4.12881,95.15819
,,4.1187,96.47272,4.1389,95.15868
,,4.12881,96.45426,4.14874,95.15921
,,4.1389,96.43575,4.15882,95.15979
,,4.14874,96.41764,4.16889,95.16042
,,4.15882,96.39903,4.1787,95.16107
,,4.16889,96.38037,4.18876,95.16178
,,4.1787,96.36213,4.19881,95.16254
,,4.18876,96.34338,4.20885,95.16333
,,4.19881,96.3246,4.21888,95.16416
,,4.20885,96.30578,4.22865,95.16502
,,4.21888,96.28693,4.23867,95.16593
,,4.22865,96.26853,4.24867,95.16687
,,4.23867,96.24963,4.25867,95.16786
,,4.24867,96.2307,4.26866,95.16888
,,4.25867,96.21175,4.27865,95.16994
,,4.26866,96.19279,4.28862,95.17104
,,4.27865,96.17381,4.29883,95.1722
,,4.28862,96.15482,4.30879,95.17336
,,4.29883,96.13534,4.31874,95.17456
,,4.30879,96.11633,4.32868,95.1758
,,4.31874,96.09732,4.33861,95.17706
,,4.32868,96.07831,4.34878,95.17839
,,4.33861,96.05929,4.3587,95.17972
,,4.34878,96.0398,4.3686,95.18108
,,4.3587,96.0208,4.37875,95.18251
,,4.3686,96.0018,4.38864,95.18393
,,4.37875,95.98234,4.39876,95.18542
,,4.38864,95.96336,4.40864,95.1869
,,4.39876,95.94393,4.41875,95.18844
,,4.40864,95.92499,4.4286,95.18998
,,4.41875,95.90559,4.43869,95.19158
,,4.4286,95.88669,4.44853,95.19317
,,4.43869,95.86734,4.4586,95.19483
,,4.44853,95.84849,4.46866,95.19651
,,4.4586,95.8292,4.47872,95.19822
,,4.46866,95.80994,4.48852,95.19991
,,4.47872,95.79071,4.49856,95.20167
,,4.48852,95.77199,4.50859,95.20345
,,4.49856,95.75283,4.5186,95.20525
