Wavelength,Reflectance
535.0,0.8047908196721313
536.0,0.8047380983606558
537.0,0.8046853770491804
538.0,0.8046326557377049
539.0,0.8045799344262295
540.0,0.8045272131147542
541.0,0.8044744918032788
542.0,0.8044217704918034
543.0,0.8043690491803279
544.0,0.8043163278688525
545.0,0.8042636065573772
546.0,0.8042108852459018
547.0,0.8041581639344263
548.0,0.8041054426229509
549.0,0.8040527213114754
550.0,0.804
551.0,0.803929704918033
552.0,0.8038594098360656
553.0,0.8037891147540984
554.0,0.8037188196721312
555.0,0.8036485245901641
556.0,0.8035782295081968
557.0,0.8035079344262296
558.0,0.8034376393442624
559.0,0.8033673442622952
560.0,0.803297049180328
561.0,0.8032267540983608
562.0,0.8031564590163934
563.0,0.8030861639344263
564.0,0.8030158688524591
565.0,0.8029455737704918
