"#Wavelength in nm, units in L, dB/km; email from Armadillo SIA based on request on ceramoptec.com",,,,,,
Wavelength,UVNSS,UVNS,WFNS,UVWFS-1,UVWFS-2,UVWFS-3
371,37.60136901,47.63207069,47.08853187,60.174725,58.9868346,57.3713978
372,37.23262106,47.60794041,46.84342429,60.03515138,60.55672639,56.49543095
373,37.07383316,47.44739204,46.28824569,60.08701054,59.86785679,56.84332359
374,37.19295021,48.17594085,46.61812912,59.14433637,57.53826274,56.47787863
375,36.31645661,48.34809355,46.42265058,57.48748241,56.0478645,56.53157558
376,34.82661036,47.86990325,47.04957224,56.98045916,55.65830027,56.06725621
377,33.95320204,48.58872976,47.71384674,56.52208493,53.64653989,55.05093667
378,34.40509149,48.7930166,46.26098559,57.49800005,52.48191337,53.37112116
379,35.328968,48.47675108,45.04758614,57.02098555,52.78489559,52.3501367
380,33.81063247,45.99216899,43.81036386,55.77319081,52.9052713,52.3173524
381,33.51405717,44.31068304,43.19673498,54.37032626,52.90508473,52.67689048
382,30.72916408,44.60571089,42.00090047,53.96015092,53.9412757,52.26566729
383,30.16565427,46.92164325,41.84954897,55.32287444,53.22898006,51.90891027
384,32.26801647,44.76832773,42.24244334,54.79711296,53.15766955,49.73645897
385,33.40025259,43.16543228,43.26596004,53.48156675,51.67169566,47.92124624
386,33.09385726,41.92095154,41.67973455,53.13225308,49.12832491,48.38639339
387,32.72980397,42.62953605,40.3315112,52.94764596,48.7813512,48.00018502
388,32.27377886,40.51812743,39.50202614,53.64663815,50.34561077,49.38729317
389,32.38922443,38.36259562,40.01962077,53.01605124,49.32014697,50.06893479
390,32.70198148,37.13501693,40.12093196,51.06415244,47.96409383,48.29032807
391,31.83586418,38.20514622,40.69051616,50.60244135,47.04707728,47.13950825
392,29.95682837,39.41143729,41.01779792,51.52398066,46.94232179,47.40252327
393,29.58441096,39.72216385,41.78909003,51.45569346,45.11582553,47.21719441
394,28.40143866,38.48645313,39.74417039,48.42427456,43.75808737,45.47040859
395,26.94904727,37.3034379,37.65124117,47.85209359,42.36954406,42.50621616
396,26.1327403,39.16783467,36.06405475,46.42733337,39.83307372,41.87564692
397,27.6788477,39.92574482,35.38806243,47.5538769,40.82616602,44.02726012
398,28.32458143,39.74572107,36.35514095,48.11737301,42.18213129,44.20831711
399,26.93700375,39.70799079,36.72727392,48.23512071,41.34975602,44.43751717
400,26.22523591,39.2545765,37.25862047,44.65899834,41.76209755,42.23734752
401,26.21861137,38.87217008,37.00618832,44.47225593,40.04114376,41.90652411
402,24.92663308,36.34683121,36.59722107,43.95241992,39.06586891,42.09974858
403,23.30179347,34.96202469,36.08470151,43.84977698,38.50491637,41.60681879
404,23.49255817,34.11072513,35.57157503,44.58102509,37.80589344,40.07847083
405,24.56756302,33.40899695,34.78446563,44.88058996,38.6901886,40.22294084
406,22.22257163,33.47390385,34.71846306,46.08229255,38.44817714,39.85281868
407,23.9987884,32.47923245,35.43517116,47.20470513,36.87131552,39.26829032
408,24.56445438,32.07820597,33.31093994,45.35925365,35.95988426,39.14106832
409,23.94286233,31.57283081,32.07299328,44.20728552,36.33501955,38.39397226
410,22.81460304,31.06287655,33.57529781,42.24473686,36.15504883,38.0689648
411,21.66885161,30.66241809,34.28249078,41.89152035,35.25457254,38.05372391
412,21.29337594,30.51269318,34.33930661,41.28525518,35.15427158,38.1748327
413,21.63699712,30.27865593,33.93292245,40.32291433,35.16121911,37.30346076
414,23.81603124,30.48455211,33.73227796,40.58061003,34.28772196,36.45365041
415,23.35349231,30.49860825,31.35273244,40.87210176,33.74707993,36.04450548
416,20.64953739,30.00751032,30.49814886,40.41485816,33.55527136,35.45790908
417,21.00439554,29.11031207,33.00276653,38.10691847,33.57496909,35.14231257
418,22.84160338,28.4197254,33.30713963,36.20294543,32.99107659,34.53486725
419,21.41071126,28.26068081,33.55869993,35.70842352,32.58662858,34.31437171
420,21.61060707,28.28861181,33.33775939,34.85827884,32.37779661,33.75398647
421,20.26461891,28.07066419,32.7278651,35.48943266,32.52108028,33.30207678
422,19.38210933,27.62384953,31.11855316,36.10040781,32.05286345,32.96669989
