LED Item #,M780L3,,,M780LP1,,,M810L3,,,M850L3,,,M850LP1,,,M880L3,,,M940L3,,,M970L4,,,M1050L2,,,M1050L4,,,M1100L1,,,M1300L3,,,M1300L4,,,M1450L4,,,M1550L3,,,M1650L4,
Min Output Power (mW),200,,,800,,,325,,,900,,,1400,,,300,,,800,,,600,,,50,,,160,,,168,,,25,,,122.8,,,81.8,,,31,,,13,
Scaling Constant,5.34E+00,,,2.24E+01,,,8.93E+00,,,2.61E+01,,,3.32E+01,,,5.47E+00,,,1.09E+01,,,9.04E+00,,,6.50E-01,,,3.52E+00,,,2.40E+00,,,2.75E-01,,,1.19E+00,,,6.80E-01,,,2.77E-01,,,7.94E-02,
Spectra,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm) ,Spectral Flux (mW/nm),,Wavelength (nm) ,Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm)
,501.78454,9.50E-03,,204.2099905,0.00E+00,,204.2099905,0.00E+00,,500.30828,7.83E-04,,204.2099905,0.00E+00,,504.38033,2.90E-04,,501.78454,4.62E-02,,204.20999,0.00E+00,,801.32,2.39E-03,,805.00,3.68E-04,,602.500,5.37E-03,,1002.41309,1.30E-02,,621.0,1.19E-02,,1021.00000,4.92E-04,,1000.77,0.00E+00,,1000.76,4.36E-03
,501.93825,1.57E-02,,204.411841,0.00E+00,,204.411841,0.00E+00,,500.46334,0.00E+00,,204.411841,0.00E+00,,504.53265,2.72E-04,,501.93825,4.31E-02,,204.41184,0.00E+00,,801.38,1.42E-03,,805.24,9.88E-05,,602.611,4.65E-03,,1002.53619,1.30E-02,,622.0,1.57E-02,,1022.00000,4.63E-04,,1000.82,0.00E+00,,1000.81,4.37E-03
,502.09198,7.21E-03,,204.6137102,0.00E+00,,204.6137102,0.00E+00,,500.6184,7.83E-04,,204.6137102,0.00E+00,,504.68497,3.08E-04,,502.09198,4.43E-02,,204.61371,0.00E+00,,801.45,2.01E-03,,805.47,3.54E-04,,602.722,4.32E-03,,1002.65930,1.29E-02,,623.0,1.35E-02,,1023.00000,5.34E-04,,1000.87,0.00E+00,,1000.86,4.37E-03
,502.24572,1.03E-02,,204.8155981,0.00E+00,,204.8155981,0.00E+00,,500.77348,0.00E+00,,204.8155981,0.00E+00,,504.83731,2.72E-04,,502.24572,4.18E-02,,204.8156,0.00E+00,,801.51,2.41E-03,,805.71,6.45E-05,,602.833,3.17E-03,,1002.78241,1.28E-02,,624.0,9.24E-03,,1024.00000,4.13E-04,,1000.92,0.00E+00,,1000.91,4.36E-03
,502.39946,1.15E-02,,205.0175048,0.00E+00,,205.0175048,0.00E+00,,500.92856,7.83E-04,,205.0175048,0.00E+00,,504.98966,2.74E-04,,502.39946,4.50E-02,,205.0175,0.00E+00,,801.58,1.83E-03,,805.95,3.58E-04,,602.945,5.57E-03,,1002.90558,1.27E-02,,625.0,1.29E-02,,1025.00000,3.49E-04,,1000.96,0.00E+00,,1000.96,4.34E-03
,502.55321,1.30E-02,,205.2194301,0.00E+00,,205.2194301,0.00E+00,,501.08364,0.00E+00,,205.2194301,0.00E+00,,505.14202,3.09E-04,,502.55321,4.24E-02,,205.21943,0.00E+00,,801.64,1.59E-03,,806.19,8.46E-05,,603.056,3.55E-03,,1003.02881,1.27E-02,,626.0,2.29E-02,,1026.00000,4.83E-04,,1001.01,0.00E+00,,1001.01,4.31E-03
,502.70698,5.66E-03,,205.4213742,0.00E+00,,205.4213742,0.00E+00,,501.23874,0.00E+00,,205.4213742,0.00E+00,,505.2944,2.67E-04,,502.70698,4.48E-02,,205.42137,0.00E+00,,801.70,1.54E-03,,806.42,3.80E-04,,603.167,7.17E-03,,1003.15204,1.27E-02,,627.0,2.20E-02,,1027.00000,4.88E-04,,1001.06,0.00E+00,,1001.06,4.29E-03
,502.86075,1.65E-02,,205.6233369,0.00E+00,,205.6233369,0.00E+00,,501.39384,0.00E+00,,205.6233369,0.00E+00,,505.44678,2.63E-04,,502.86075,4.19E-02,,205.62334,0.00E+00,,801.77,1.59E-03,,806.66,8.01E-05,,603.279,6.55E-03,,1003.27527,1.27E-02,,628.0,1.94E-02,,1028.00000,4.11E-04,,1001.11,0.00E+00,,1001.11,4.26E-03
,503.01453,8.06E-03,,205.8253183,0.00E+00,,205.8253183,0.00E+00,,501.54895,7.83E-04,,205.8253183,0.00E+00,,505.59917,2.87E-04,,503.01453,4.48E-02,,205.82532,0.00E+00,,801.83,2.12E-03,,806.90,3.50E-04,,603.390,4.05E-03,,1003.39856,1.29E-02,,629.0,2.18E-02,,1029.00000,5.19E-04,,1001.16,0.00E+00,,1001.15,4.23E-03
,503.16832,1.00E-02,,206.0273184,0.00E+00,,206.0273184,0.00E+00,,501.70407,0.00E+00,,206.0273184,0.00E+00,,505.75157,2.76E-04,,503.16832,4.24E-02,,206.02732,0.00E+00,,801.90,2.74E-03,,807.14,3.75E-05,,603.502,5.02E-03,,1003.52191,1.31E-02,,630.0,1.52E-02,,1030.00000,5.22E-04,,1001.21,0.00E+00,,1001.20,4.21E-03
