LED Item #,M780L3,,,M780LP1,,,M810L3,,,M850L3,,,M850LP1,,,M880L3,,,M940L3,,,M970L4,,,M1050L2,,,M1050L4,,,M1100L1,,,M1300L3,,,M1300L4,,,M1450L4,,,M1550L3,,,M1650L4,
Min Output Power (mW),200,,,800,,,325,,,900,,,1400,,,300,,,800,,,600,,,50,,,160,,,168,,,25,,,122.8,,,81.8,,,31,,,13,
Scaling Constant,5.34E+00,,,2.24E+01,,,8.93E+00,,,2.61E+01,,,3.32E+01,,,5.47E+00,,,1.09E+01,,,9.04E+00,,,6.50E-01,,,3.52E+00,,,2.40E+00,,,2.75E-01,,,1.19E+00,,,6.80E-01,,,2.77E-01,,,7.94E-02,
Spectra,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm) ,Spectral Flux (mW/nm),,Wavelength (nm) ,Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm)
,884.12679,2.62E-02,,724.1768512,1.09E+00,,724.1768512,1.30E-02,,883.54773,0.00E+00,,724.1768512,3.23E-02,,887.38797,5.06E+00,,884.12679,2.86E+00,,724.17685,0.00E+00,,987.17,2.31E-01,,,,,1067.405,1.31E+00,,1411.56580,5.91E-03,,,,,,,,1131.77,0.00E+00,,1131.77,2.56E-03
,884.29431,2.04E-02,,724.4117686,1.09E+00,,724.4117686,4.70E-04,,883.71563,0.00E+00,,724.4117686,-1.67E-02,,887.55742,5.04E+00,,884.29431,2.88E+00,,724.41177,0.00E+00,,987.26,2.31E-01,,,,,1067.754,1.33E+00,,1411.80994,6.08E-03,,,,,,,,1131.84,0.00E+00,,1131.83,2.56E-03
,884.46182,2.07E-02,,724.6466952,1.13E+00,,724.6466952,9.07E-03,,883.88354,0.00E+00,,724.6466952,2.33E-02,,887.72688,5.02E+00,,884.46182,2.90E+00,,724.6467,0.00E+00,,987.36,2.31E-01,,,,,1068.103,1.34E+00,,1412.05408,6.25E-03,,,,,,,,1131.90,0.00E+00,,1131.89,2.56E-03
,884.62935,2.08E-02,,724.8816311,1.13E+00,,724.8816311,6.29E-03,,884.05144,0.00E+00,,724.8816311,-1.44E-02,,887.89634,4.99E+00,,884.62935,2.92E+00,,724.88163,0.00E+00,,987.46,2.32E-01,,,,,1068.452,1.35E+00,,1412.29834,6.41E-03,,,,,,,,1131.96,0.00E+00,,1131.96,2.55E-03
,884.79687,2.73E-02,,725.1165763,1.18E+00,,725.1165763,1.02E-02,,884.21935,0.00E+00,,725.1165763,1.99E-02,,888.0658,4.98E+00,,884.79687,2.94E+00,,725.11658,0.00E+00,,987.55,2.33E-01,,,,,1068.802,1.37E+00,,1412.54260,6.54E-03,,,,,,,,1132.02,0.00E+00,,1132.02,2.53E-03
,884.96439,3.59E-02,,725.3515308,1.17E+00,,725.3515308,-4.73E-03,,884.38726,0.00E+00,,725.3515308,-2.32E-02,,888.23527,4.95E+00,,884.96439,2.95E+00,,725.35153,0.00E+00,,987.65,2.34E-01,,,,,1069.152,1.38E+00,,1412.78699,6.62E-03,,,,,,,,1132.09,0.00E+00,,1132.08,2.52E-03
,885.13192,3.40E-02,,725.5864945,1.21E+00,,725.5864945,5.37E-04,,884.55518,0.00E+00,,725.5864945,2.13E-02,,888.40474,4.93E+00,,885.13192,2.96E+00,,725.58649,0.00E+00,,987.75,2.34E-01,,,,,1069.502,1.40E+00,,1413.03149,6.67E-03,,,,,,,,1132.15,0.00E+00,,1132.14,2.50E-03
,885.29945,1.73E-02,,725.8214675,1.20E+00,,725.8214675,5.35E-03,,884.7231,0.00E+00,,725.8214675,-3.12E-03,,888.57421,4.91E+00,,885.29945,2.97E+00,,725.82147,0.00E+00,,987.85,2.33E-01,,,,,1069.852,1.41E+00,,1413.27612,6.69E-03,,,,,,,,1132.21,0.00E+00,,1132.21,2.48E-03
,885.46698,2.66E-02,,726.0564498,1.26E+00,,726.0564498,1.10E-02,,884.89102,0.00E+00,,726.0564498,2.92E-02,,888.74369,4.90E+00,,885.46698,2.97E+00,,726.05645,0.00E+00,,987.94,2.34E-01,,,,,1070.203,1.43E+00,,1413.52075,6.70E-03,,,,,,,,1132.28,0.00E+00,,1132.27,2.47E-03
,885.63452,1.96E-02,,726.2914414,1.25E+00,,726.2914414,4.02E-03,,885.05895,0.00E+00,,726.2914414,-1.43E-02,,888.91318,4.87E+00,,885.63452,2.99E+00,,726.29144,0.00E+00,,988.04,2.35E-01,,,,,1070.554,1.44E+00,,1413.76550,6.70E-03,,,,,,,,1132.34,0.00E+00,,1132.33,2.45E-03
,885.80206,2.66E-02,,726.5264422,1.30E+00,,726.5264422,1.01E-02,,885.22688,0.00E+00,,726.5264422,2.61E-02,,889.08266,4.84E+00,,885.80206,3.00E+00,,726.52644,0.00E+00,,988.14,2.35E-01,,,,,1070.905,1.46E+00,,1414.01038,6.72E-03,,,,,,,,1132.40,0.00E+00,,1132.39,2.44E-03
,885.96959,1.16E-02,,726.7614522,1.28E+00,,726.7614522,-5.57E-03,,885.39481,0.00E+00,,726.7614522,-2.96E-02,,889.25215,4.81E+00,,885.96959,3.02E+00,,726.76145,0.00E+00,,988.23,2.35E-01,,,,,1071.256,1.47E+00,,1414.25525,6.77E-03,,,,,,,,1132.46,0.00E+00,,1132.46,2.42E-03
,886.13714,2.43E-02,,726.9964715,1.33E+00,,726.9964715,5.47E-03,,885.56274,0.00E+00,,726.9964715,1.47E-03,,889.42165,4.79E+00,,886.13714,3.04E+00,,726.99647,0.00E+00,,988.33,2.35E-01,,,,,1071.607,1.49E+00,,1414.50024,6.85E-03,,,,,,,,1132.53,0.00E+00,,1132.52,2.41E-03
,886.30468,3.07E-02,,727.2315001,1.33E+00,,727.2315001,-7.84E-03,,885.73068,0.00E+00,,727.2315001,-2.17E-02,,889.59114,4.76E+00,,886.30468,3.06E+00,,727.2315,0.00E+00,,988.43,2.35E-01,,,,,1071.959,1.51E+00,,1414.74536,6.96E-03,,,,,,,,1132.59,0.00E+00,,1132.58,2.39E-03
,886.47223,3.05E-02,,727.4665379,1.39E+00,,727.4665379,8.64E-03,,885.89863,0.00E+00,,727.4665379,1.55E-02,,889.76065,4.74E+00,,886.47223,3.08E+00,,727.46654,5.43E-03,,988.53,2.36E-01,,,,,1072.311,1.52E+00,,1414.99060,7.08E-03,,,,,,,,1132.65,0.00E+00,,1132.65,2.38E-03
,886.63978,1.58E-02,,727.7015849,1.39E+00,,727.7015849,-1.61E-02,,886.06657,0.00E+00,,727.7015849,-1.22E-02,,889.93015,4.73E+00,,886.63978,3.10E+00,,727.70158,0.00E+00,,988.62,2.37E-01,,,,,1072.663,1.54E+00,,1415.23584,7.22E-03,,,,,,,,1132.72,0.00E+00,,1132.71,2.37E-03
,886.80733,2.64E-02,,727.9366412,1.43E+00,,727.9366412,2.59E-02,,886.23452,0.00E+00,,727.9366412,1.39E-02,,890.09966,4.73E+00,,886.80733,3.12E+00,,727.93664,0.00E+00,,988.72,2.38E-01,,,,,1073.016,1.55E+00,,1415.48120,7.35E-03,,,,,,,,1132.78,0.00E+00,,1132.77,2.37E-03
,886.97488,1.80E-02,,728.1717067,1.43E+00,,728.1717067,1.36E-02,,886.40247,0.00E+00,,728.1717067,-8.26E-03,,890.26917,4.72E+00,,886.97488,3.14E+00,,728.17171,0.00E+00,,988.82,2.38E-01,,,,,1073.369,1.57E+00,,1415.72656,7.46E-03,,,,,,,,1132.84,0.00E+00,,1132.83,2.37E-03
,887.14244,3.01E-02,,728.4067814,1.46E+00,,728.4067814,5.94E-03,,886.57043,0.00E+00,,728.4067814,3.07E-02,,890.43869,4.70E+00,,887.14244,3.17E+00,,728.40678,0.00E+00,,988.92,2.38E-01,,,,,1073.721,1.59E+00,,1415.97205,7.54E-03,,,,,,,,1132.90,0.00E+00,,1132.90,2.37E-03
,887.31,2.30E-02,,728.6418654,1.47E+00,,728.6418654,-8.21E-03,,886.73839,0.00E+00,,728.6418654,-1.50E-02,,890.60821,4.68E+00,,887.31,3.19E+00,,728.64187,0.00E+00,,989.01,2.39E-01,,,,,1074.074,1.60E+00,,1416.21765,7.56E-03,,,,,,,,1132.97,0.00E+00,,1132.96,2.37E-03
,887.47756,2.65E-02,,728.8769585,1.51E+00,,728.8769585,2.03E-02,,886.90635,0.00E+00,,728.8769585,1.39E-02,,890.77774,4.67E+00,,887.47756,3.21E+00,,728.87696,9.04E-03,,989.11,2.40E-01,,,,,1074.428,1.62E+00,,1416.46338,7.52E-03,,,,,,,,1133.03,0.00E+00,,1133.02,2.38E-03
,887.64513,2.50E-02,,729.1120609,1.51E+00,,729.1120609,-4.04E-03,,887.07431,0.00E+00,,729.1120609,1.34E-03,,890.94727,4.64E+00,,887.64513,3.22E+00,,729.11206,0.00E+00,,989.21,2.40E-01,,,,,1074.781,1.64E+00,,1416.70911,7.43E-03,,,,,,,,1133.09,0.00E+00,,1133.09,2.38E-03
,887.81269,2.95E-02,,729.3471725,1.55E+00,,729.3471725,7.53E-03,,887.24228,0.00E+00,,729.3471725,2.34E-02,,891.1168,4.61E+00,,887.81269,3.23E+00,,729.34717,0.00E+00,,989.30,2.42E-01,,,,,1075.135,1.65E+00,,1416.95496,7.30E-03,,,,,,,,1133.16,0.00E+00,,1133.15,2.39E-03
,887.98026,1.67E-02,,729.5822933,1.55E+00,,729.5822933,1.06E-02,,887.41025,0.00E+00,,729.5822933,-5.32E-03,,891.28633,4.58E+00,,887.98026,3.25E+00,,729.58229,0.00E+00,,989.40,2.42E-01,,,,,1075.489,1.67E+00,,1417.20093,7.15E-03,,,,,,,,1133.22,0.00E+00,,1133.21,2.40E-03
,888.14783,3.14E-02,,729.8174233,1.61E+00,,729.8174233,1.22E-02,,887.57823,0.00E+00,,729.8174233,3.93E-02,,891.45587,4.55E+00,,888.14783,3.26E+00,,729.81742,0.00E+00,,989.50,2.41E-01,,,,,1075.843,1.68E+00,,1417.44690,7.01E-03,,,,,,,,1133.28,0.00E+00,,1133.27,2.41E-03
,888.31541,2.33E-02,,730.0525625,1.60E+00,,730.0525625,-5.78E-03,,887.74621,0.00E+00,,730.0525625,-1.16E-02,,891.62542,4.51E+00,,888.31541,3.28E+00,,730.05256,0.00E+00,,989.60,2.41E-01,,,,,1076.198,1.70E+00,,1417.69312,6.88E-03,,,,,,,,1133.34,0.00E+00,,1133.34,2.42E-03
,888.48298,2.49E-02,,730.2877109,1.65E+00,,730.2877109,4.90E-03,,887.91419,0.00E+00,,730.2877109,1.84E-02,,891.79496,4.48E+00,,888.48298,3.29E+00,,730.28771,0.00E+00,,989.69,2.42E-01,,,,,1076.553,1.71E+00,,1417.93921,6.78E-03,,,,,,,,1133.41,0.00E+00,,1133.40,2.43E-03
,888.65056,1.63E-02,,730.5228684,1.67E+00,,730.5228684,1.55E-03,,888.08217,0.00E+00,,730.5228684,-2.06E-02,,891.96451,4.44E+00,,888.65056,3.32E+00,,730.52287,0.00E+00,,989.79,2.42E-01,,,,,1076.908,1.73E+00,,1418.18555,6.68E-03,,,,,,,,1133.47,0.00E+00,,1133.46,2.44E-03
,888.81814,2.34E-02,,730.7580352,1.72E+00,,730.7580352,1.14E-02,,888.25016,0.00E+00,,730.7580352,1.15E-02,,892.13407,4.41E+00,,888.81814,3.34E+00,,730.75804,0.00E+00,,989.89,2.43E-01,,,,,1077.263,1.74E+00,,1418.43189,6.59E-03,,,,,,,,1133.53,0.00E+00,,1133.53,2.46E-03
,888.98573,1.59E-02,,730.9932111,1.71E+00,,730.9932111,-5.51E-03,,888.41815,0.00E+00,,730.9932111,-2.23E-02,,892.30363,4.39E+00,,888.98573,3.38E+00,,730.99321,9.04E-03,,989.99,2.44E-01,,,,,1077.618,1.76E+00,,1418.67835,6.50E-03,,,,,,,,1133.60,0.00E+00,,1133.59,2.47E-03
,889.15331,3.16E-02,,731.2283963,1.75E+00,,731.2283963,2.09E-02,,888.58614,0.00E+00,,731.2283963,2.57E-02,,892.47319,4.36E+00,,889.15331,3.41E+00,,731.2284,0.00E+00,,990.08,2.44E-01,,,,,1077.974,1.77E+00,,1418.92493,6.41E-03,,,,,,,,1133.66,0.00E+00,,1133.65,2.48E-03
,889.3209,1.70E-02,,731.4635906,1.77E+00,,731.4635906,1.45E-02,,888.75414,0.00E+00,,731.4635906,-2.19E-02,,892.64276,4.33E+00,,889.3209,3.44E+00,,731.46359,0.00E+00,,990.18,2.44E-01,,,,,1078.330,1.78E+00,,1419.17151,6.34E-03,,,,,,,,1133.72,0.00E+00,,1133.72,2.50E-03
,889.48849,3.48E-02,,731.698794,1.82E+00,,731.698794,8.77E-03,,888.92214,0.00E+00,,731.698794,2.80E-02,,892.81233,4.31E+00,,889.48849,3.47E+00,,731.69879,0.00E+00,,990.28,2.45E-01,,,,,1078.686,1.80E+00,,1419.41821,6.28E-03,,,,,,,,1133.79,0.00E+00,,1133.78,2.52E-03
,889.65608,1.59E-02,,731.9340067,1.84E+00,,731.9340067,3.63E-04,,889.09015,0.00E+00,,731.9340067,-1.24E-02,,892.9819,4.28E+00,,889.65608,3.49E+00,,731.93401,0.00E+00,,990.38,2.46E-01,,,,,1079.042,1.81E+00,,1419.66504,6.27E-03,,,,,,,,1133.85,0.00E+00,,1133.84,2.53E-03
,889.82368,2.25E-02,,732.1692285,1.90E+00,,732.1692285,1.03E-02,,889.25815,0.00E+00,,732.1692285,3.12E-02,,893.15148,4.25E+00,,889.82368,3.50E+00,,732.16923,1.81E-03,,990.47,2.45E-01,,,,,1079.399,1.82E+00,,1419.91187,6.31E-03,,,,,,,,1133.91,0.00E+00,,1133.90,2.55E-03
,889.99128,1.92E-02,,732.4044594,1.87E+00,,732.4044594,-1.31E-03,,889.42616,0.00E+00,,732.4044594,-5.01E-03,,893.32106,4.23E+00,,889.99128,3.51E+00,,732.40446,0.00E+00,,990.57,2.45E-01,,,,,1079.756,1.84E+00,,1420.15894,6.40E-03,,,,,,,,1133.97,0.00E+00,,1133.97,2.56E-03
,890.15888,2.51E-02,,732.6396996,1.93E+00,,732.6396996,9.92E-03,,889.59418,0.00E+00,,732.6396996,2.84E-02,,893.49064,4.20E+00,,890.15888,3.51E+00,,732.6397,0.00E+00,,990.67,2.46E-01,,,,,1080.113,1.85E+00,,1420.40588,6.52E-03,,,,,,,,1134.04,0.00E+00,,1134.03,2.57E-03
,890.32648,2.01E-02,,732.8749488,1.96E+00,,732.8749488,3.96E-04,,889.7622,0.00E+00,,732.8749488,-9.93E-03,,893.66023,4.17E+00,,890.32648,3.52E+00,,732.87495,7.24E-03,,990.77,2.47E-01,,,,,1080.470,1.86E+00,,1420.65308,6.65E-03,,,,,,,,1134.10,0.00E+00,,1134.09,2.59E-03
,890.49408,3.36E-02,,733.1102072,1.99E+00,,733.1102072,1.12E-02,,889.93022,0.00E+00,,733.1102072,1.51E-02,,893.82982,4.14E+00,,890.49408,3.52E+00,,733.11021,0.00E+00,,990.87,2.47E-01,,,,,1080.828,1.87E+00,,1420.90027,6.77E-03,,,,,,,,1134.16,0.00E+00,,1134.16,2.60E-03
,890.66169,2.16E-02,,733.3454748,2.01E+00,,733.3454748,3.45E-03,,890.09824,0.00E+00,,733.3454748,-1.12E-02,,893.99942,4.11E+00,,890.66169,3.53E+00,,733.34547,0.00E+00,,990.96,2.48E-01,,,,,1081.186,1.89E+00,,1421.14758,6.87E-03,,,,,,,,1134.23,0.00E+00,,1134.22,2.61E-03
,890.8293,1.97E-02,,733.5807515,2.08E+00,,733.5807515,1.51E-02,,890.26627,0.00E+00,,733.5807515,1.83E-02,,894.16902,4.08E+00,,890.8293,3.54E+00,,733.58075,0.00E+00,,991.06,2.50E-01,,,,,1081.544,1.90E+00,,1421.39502,6.92E-03,,,,,,,,1134.29,0.00E+00,,1134.28,2.63E-03
,890.99691,1.70E-02,,733.8160373,2.09E+00,,733.8160373,-5.83E-03,,890.43429,0.00E+00,,733.8160373,-1.76E-02,,894.33862,4.05E+00,,890.99691,3.56E+00,,733.81604,0.00E+00,,991.16,2.50E-01,,,,,1081.902,1.91E+00,,1421.64246,6.93E-03,,,,,,,,1134.35,0.00E+00,,1134.35,2.64E-03
,891.16452,2.57E-02,,734.0513322,2.13E+00,,734.0513322,8.69E-03,,890.60233,0.00E+00,,734.0513322,3.24E-02,,894.50823,4.02E+00,,891.16452,3.58E+00,,734.05133,0.00E+00,,991.26,2.50E-01,,,,,1082.260,1.92E+00,,1421.89002,6.90E-03,,,,,,,,1134.42,0.00E+00,,1134.41,2.65E-03
,891.33214,3.26E-02,,734.2866363,2.16E+00,,734.2866363,-1.71E-05,,890.77036,0.00E+00,,734.2866363,-6.06E-03,,894.67784,3.98E+00,,891.33214,3.62E+00,,734.28664,9.04E-03,,991.35,2.49E-01,,,,,1082.619,1.94E+00,,1422.13770,6.83E-03,,,,,,,,1134.48,0.00E+00,,1134.47,2.65E-03
,891.49976,2.30E-02,,734.5219495,2.21E+00,,734.5219495,2.83E-02,,890.9384,0.00E+00,,734.5219495,2.09E-02,,894.84746,3.96E+00,,891.49976,3.65E+00,,734.52195,0.00E+00,,991.45,2.50E-01,,,,,1082.978,1.95E+00,,1422.38550,6.76E-03,,,,,,,,1134.54,0.00E+00,,1134.53,2.63E-03
,891.66738,2.04E-02,,734.7572718,2.22E+00,,734.7572718,-3.34E-03,,891.10645,0.00E+00,,734.7572718,-7.53E-03,,895.01707,3.93E+00,,891.66738,3.69E+00,,734.75727,0.00E+00,,991.55,2.51E-01,,,,,1083.337,1.96E+00,,1422.63330,6.68E-03,,,,,,,,1134.60,0.00E+00,,1134.60,2.61E-03
,891.835,3.09E-02,,734.9926033,2.28E+00,,734.9926033,1.02E-02,,891.27449,0.00E+00,,734.9926033,1.68E-02,,895.1867,3.90E+00,,891.835,3.72E+00,,734.9926,0.00E+00,,991.65,2.52E-01,,,,,1083.697,1.97E+00,,1422.88123,6.62E-03,,,,,,,,1134.67,0.00E+00,,1134.66,2.58E-03
,892.00263,2.46E-02,,735.2279438,2.31E+00,,735.2279438,1.01E-02,,891.44254,0.00E+00,,735.2279438,-2.02E-02,,895.35632,3.87E+00,,892.00263,3.75E+00,,735.22794,0.00E+00,,991.75,2.52E-01,,,,,1084.057,1.99E+00,,1423.12915,6.58E-03,,,,,,,,1134.73,0.00E+00,,1134.72,2.54E-03
,892.17026,2.49E-02,,735.4632935,2.36E+00,,735.4632935,2.24E-02,,891.61059,0.00E+00,,735.4632935,2.35E-02,,895.52595,3.85E+00,,892.17026,3.77E+00,,735.46329,0.00E+00,,991.84,2.52E-01,,,,,1084.417,2.00E+00,,1423.37732,6.57E-03,,,,,,,,1134.79,0.00E+00,,1134.79,2.51E-03
,892.33789,1.68E-02,,735.6986522,2.36E+00,,735.6986522,1.65E-03,,891.77865,0.00E+00,,735.6986522,4.47E-03,,895.69559,3.82E+00,,892.33789,3.79E+00,,735.69865,7.24E-03,,991.94,2.52E-01,,,,,1084.777,2.02E+00,,1423.62549,6.58E-03,,,,,,,,1134.86,0.00E+00,,1134.85,2.49E-03
,892.50552,1.85E-02,,735.9340201,2.45E+00,,735.9340201,1.05E-02,,891.94671,0.00E+00,,735.9340201,3.63E-02,,895.86522,3.78E+00,,892.50552,3.80E+00,,735.93402,1.81E-03,,992.04,2.52E-01,,,,,1085.137,2.03E+00,,1423.87378,6.60E-03,,,,,,,,1134.92,0.00E+00,,1134.91,2.47E-03
,892.67316,2.61E-02,,736.169397,2.45E+00,,736.169397,2.78E-03,,892.11477,2.61E-04,,736.169397,-5.66E-03,,896.03486,3.75E+00,,892.67316,3.82E+00,,736.1694,0.00E+00,,992.14,2.53E-01,,,,,1085.498,2.04E+00,,1424.12207,6.60E-03,,,,,,,,1134.98,0.00E+00,,1134.98,2.47E-03
,892.8408,2.71E-02,,736.4047831,2.51E+00,,736.4047831,1.19E-02,,892.28283,0.00E+00,,736.4047831,1.71E-02,,896.20451,3.73E+00,,892.8408,3.84E+00,,736.40478,0.00E+00,,992.23,2.53E-01,,,,,1085.859,2.06E+00,,1424.37048,6.59E-03,,,,,,,,1135.05,0.00E+00,,1135.04,2.47E-03
,893.00843,1.92E-02,,736.6401782,2.53E+00,,736.6401782,4.16E-03,,892.4509,2.61E-04,,736.6401782,-7.22E-03,,896.37416,3.70E+00,,893.00843,3.86E+00,,736.64018,0.00E+00,,992.33,2.54E-01,,,,,1086.220,2.07E+00,,1424.61902,6.54E-03,,,,,,,,1135.11,0.00E+00,,1135.10,2.49E-03
,893.17608,2.91E-02,,736.8755824,2.56E+00,,736.8755824,8.46E-03,,892.61897,0.00E+00,,736.8755824,3.57E-02,,896.54381,3.66E+00,,893.17608,3.87E+00,,736.87558,0.00E+00,,992.43,2.55E-01,,,,,1086.581,2.09E+00,,1424.86768,6.46E-03,,,,,,,,1135.17,0.00E+00,,1135.17,2.51E-03
,893.34372,1.66E-02,,737.1109957,2.60E+00,,737.1109957,6.05E-03,,892.78705,0.00E+00,,737.1109957,3.27E-03,,896.71346,3.63E+00,,893.34372,3.90E+00,,737.111,5.43E-03,,992.53,2.56E-01,,,,,1086.943,2.10E+00,,1425.11633,6.34E-03,,,,,,,,1135.24,0.00E+00,,1135.23,2.53E-03
,893.51137,2.58E-02,,737.3464181,2.65E+00,,737.3464181,3.09E-02,,892.95513,0.00E+00,,737.3464181,2.57E-02,,896.88312,3.60E+00,,893.51137,3.92E+00,,737.34642,3.62E-03,,992.63,2.56E-01,,,,,1087.305,2.12E+00,,1425.36511,6.22E-03,,,,,,,,1135.30,0.00E+00,,1135.29,2.55E-03
,893.67902,2.03E-02,,737.5818495,2.69E+00,,737.5818495,4.93E-03,,893.12321,0.00E+00,,737.5818495,4.61E-03,,897.05278,3.57E+00,,893.67902,3.96E+00,,737.58185,0.00E+00,,992.72,2.56E-01,,,,,1087.667,2.13E+00,,1425.61401,6.10E-03,,,,,,,,1135.36,0.00E+00,,1135.35,2.56E-03
,893.84667,3.21E-02,,737.81729,2.74E+00,,737.81729,2.44E-02,,893.29129,0.00E+00,,737.81729,3.41E-02,,897.22245,3.53E+00,,893.84667,3.98E+00,,737.81729,0.00E+00,,992.82,2.56E-01,,,,,1088.029,2.15E+00,,1425.86292,6.00E-03,,,,,,,,1135.42,0.00E+00,,1135.42,2.57E-03
,894.01432,2.12E-02,,738.0527395,2.77E+00,,738.0527395,1.44E-02,,893.45938,2.61E-04,,738.0527395,1.46E-03,,897.39212,3.50E+00,,894.01432,4.01E+00,,738.05274,7.24E-03,,992.92,2.57E-01,,,,,1088.392,2.16E+00,,1426.11194,5.93E-03,,,,,,,,1135.49,0.00E+00,,1135.48,2.57E-03
,894.18198,3.09E-02,,738.2881982,2.84E+00,,738.2881982,2.42E-02,,893.62747,0.00E+00,,738.2881982,2.84E-02,,897.5618,3.48E+00,,894.18198,4.02E+00,,738.2882,0.00E+00,,993.02,2.57E-01,,,,,1088.755,2.18E+00,,1426.36108,5.89E-03,,,,,,,,1135.55,0.00E+00,,1135.54,2.57E-03
,894.34964,2.35E-02,,738.5236658,2.86E+00,,738.5236658,1.10E-02,,893.79556,0.00E+00,,738.5236658,3.81E-03,,897.73147,3.45E+00,,894.34964,4.05E+00,,738.52367,0.00E+00,,993.12,2.58E-01,,,,,1089.118,2.19E+00,,1426.61035,5.87E-03,,,,,,,,1135.61,0.00E+00,,1135.61,2.56E-03
,894.5173,2.58E-02,,738.7591426,2.92E+00,,738.7591426,2.58E-02,,893.96366,0.00E+00,,738.7591426,2.18E-02,,897.90116,3.41E+00,,894.5173,4.08E+00,,738.75914,0.00E+00,,993.22,2.58E-01,,,,,1089.481,2.21E+00,,1426.85962,5.86E-03,,,,,,,,1135.68,0.00E+00,,1135.67,2.55E-03
,894.68496,2.42E-02,,738.9946283,2.93E+00,,738.9946283,-6.41E-03,,894.13176,0.00E+00,,738.9946283,4.62E-03,,898.07084,3.38E+00,,894.68496,4.11E+00,,738.99463,0.00E+00,,993.31,2.58E-01,,,,,1089.844,2.22E+00,,1427.10901,5.84E-03,,,,,,,,1135.74,0.00E+00,,1135.73,2.54E-03
,894.85263,3.03E-02,,739.2301231,3.01E+00,,739.2301231,3.84E-02,,894.29986,0.00E+00,,739.2301231,3.22E-02,,898.24053,3.35E+00,,894.85263,4.11E+00,,739.23012,1.81E-03,,993.41,2.59E-01,,,,,1090.208,2.23E+00,,1427.35852,5.82E-03,,,,,,,,1135.80,0.00E+00,,1135.80,2.53E-03
,895.02029,2.63E-02,,739.465627,3.03E+00,,739.465627,1.64E-02,,894.46797,7.83E-04,,739.465627,7.86E-04,,898.41022,3.33E+00,,895.02029,4.12E+00,,739.46563,0.00E+00,,993.51,2.59E-01,,,,,1090.572,2.25E+00,,1427.60803,5.78E-03,,,,,,,,1135.87,0.00E+00,,1135.86,2.53E-03
,895.18796,2.81E-02,,739.7011399,3.11E+00,,739.7011399,2.68E-02,,894.63608,0.00E+00,,739.7011399,5.60E-02,,898.57992,3.29E+00,,895.18796,4.12E+00,,739.70114,0.00E+00,,993.61,2.60E-01,,,,,1090.937,2.26E+00,,1427.85767,5.74E-03,,,,,,,,1135.93,0.00E+00,,1135.92,2.53E-03
,895.35564,1.59E-02,,739.9366618,3.13E+00,,739.9366618,2.75E-02,,894.80419,0.00E+00,,739.9366618,-4.97E-03,,898.74962,3.26E+00,,895.35564,4.13E+00,,739.93666,7.24E-03,,993.71,2.60E-01,,,,,1091.301,2.27E+00,,1428.10742,5.71E-03,,,,,,,,1135.99,0.00E+00,,1135.99,2.54E-03
,895.52331,2.46E-02,,740.1721927,3.18E+00,,740.1721927,3.37E-02,,894.97231,0.00E+00,,740.1721927,5.14E-02,,898.91932,3.24E+00,,895.52331,4.14E+00,,740.17219,3.62E-03,,993.80,2.60E-01,,,,,1091.666,2.29E+00,,1428.35730,5.69E-03,,,,,,,,1136.06,0.00E+00,,1136.05,2.56E-03
,895.69099,1.82E-02,,740.4077327,3.21E+00,,740.4077327,2.86E-02,,895.14043,0.00E+00,,740.4077327,-5.55E-03,,899.08903,3.21E+00,,895.69099,4.17E+00,,740.40773,0.00E+00,,993.90,2.60E-01,,,,,1092.031,2.30E+00,,1428.60718,5.71E-03,,,,,,,,1136.12,0.00E+00,,1136.11,2.57E-03
,895.85867,2.57E-02,,740.6432817,3.30E+00,,740.6432817,2.62E-02,,895.30855,0.00E+00,,740.6432817,4.16E-02,,899.25874,3.17E+00,,895.85867,4.20E+00,,740.64328,0.00E+00,,994.00,2.60E-01,,,,,1092.396,2.31E+00,,1428.85718,5.76E-03,,,,,,,,1136.18,0.00E+00,,1136.18,2.59E-03
,896.02635,1.90E-02,,740.8788397,3.31E+00,,740.8788397,3.30E-02,,895.47668,0.00E+00,,740.8788397,3.51E-03,,899.42845,3.14E+00,,896.02635,4.23E+00,,740.87884,0.00E+00,,994.10,2.61E-01,,,,,1092.762,2.32E+00,,1429.10730,5.84E-03,,,,,,,,1136.25,0.00E+00,,1136.24,2.60E-03
,896.19403,4.06E-02,,741.1144067,3.40E+00,,741.1144067,2.78E-02,,895.64481,0.00E+00,,741.1144067,3.93E-02,,899.59817,3.12E+00,,896.19403,4.25E+00,,741.11441,0.00E+00,,994.20,2.62E-01,,,,,1093.127,2.33E+00,,1429.35742,5.97E-03,,,,,,,,1136.31,0.00E+00,,1136.30,2.61E-03
