LED Item #,M415LP1,,,M415L4,,,M430L5,,,M450LP2,,,M455L4,,,M470L5,,,M490L4,,,M505L4,,,M530L4,,,MINTL5,,,M565L3,,,M590L4,,,M595L4,,,M617L3,,,M625L4,,,M660L4,,,M680L4,,,M700L4,,,M730L5,
Min Output Power (mW),1640,,,1310,,,529.2,,,2118.1,,,1150,,,809,,,205,,,400,,,370,,,650,,,880,,,230,,,820,,,600,,,700,,,940,,,180,,,80,,,540,
Scaling Constant,1.01E+02,,,8.09E+01,,,2.48E+01,,,9.19E+01,,,5.06E+01,,,2.63E+01,,,6.66E+00,,,9.67E+00,,,8.95E+00,,,4.83E+00,,,7.89E+00,,,1.17E+01,,,9.82E+00,,,3.25E+01,,,2.99E+01,,,3.68E+01,,,6.83E+00,,,3.30E+00,,,1.22E+01,
Spectra,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm)
,207.23971,0.00E+00,,207.34597,0.00E+00,,203.5865597,0.00E+00,,207.03,0.00E+00,,207.3,0.00E+00,,207.3,0.00E+00,,207.345973,0.00E+00,,207.34597,0.00E+00,,207.34598,1.07E-04,,386,0.00E+00,,207.2397114,0.00E+00,,207.3,0.00E+00,,207.3459778,-1.11E-04,,324.06482,3.28E-04,,207.34598,4.79E-03,,207.23971,0.00E+00,,207.345973,0.00E+00,,207.345973,0.00E+00,,207.3,0.00E+00
,207.44184,0.00E+00,,207.5493,0.00E+00,,203.794753,0.00E+00,,207.23,0.00E+00,,207.5,0.00E+00,,207.5,0.00E+00,,207.5492996,0.00E+00,,207.5493,0.00E+00,,207.5493,0.00E+00,,387,0.00E+00,,207.4418422,0.00E+00,,207.5,0.00E+00,,207.5493011,-2.02E-03,,324.17373,3.39E-04,,207.5493,0.00E+00,,207.44184,0.00E+00,,207.5492996,0.00E+00,,207.5492996,0.00E+00,,207.5,0.00E+00
,207.64399,0.00E+00,,207.75264,0.00E+00,,204.0029575,0.00E+00,,207.43,0.00E+00,,207.8,0.00E+00,,207.8,0.00E+00,,207.7526431,0.00E+00,,207.75264,0.00E+00,,207.75264,7.99E-05,,388,0.00E+00,,207.6439917,0.00E+00,,207.8,0.00E+00,,207.7526398,1.08E-02,,324.28264,3.48E-04,,207.75264,1.07E-02,,207.64399,0.00E+00,,207.7526431,0.00E+00,,207.7526431,0.00E+00,,207.8,0.00E+00
,207.84616,0.00E+00,,207.956,0.00E+00,,204.211173,0.00E+00,,207.64,0.00E+00,,208.0,0.00E+00,,208.0,0.00E+00,,207.9560037,0.00E+00,,207.956,0.00E+00,,207.95601,0.00E+00,,389,0.00E+00,,207.8461598,0.00E+00,,208.0,0.00E+00,,207.9560089,-4.02E-03,,324.39156,3.86E-04,,207.95601,0.00E+00,,207.84616,0.00E+00,,207.9560037,0.00E+00,,207.9560037,0.00E+00,,208.0,0.00E+00
,208.04835,0.00E+00,,208.15938,0.00E+00,,204.4193996,0.00E+00,,207.84,0.00E+00,,208.2,0.00E+00,,208.2,0.00E+00,,208.1593812,0.00E+00,,208.15938,0.00E+00,,208.15938,8.99E-05,,390,0.00E+00,,208.0483466,0.00E+00,,208.2,0.00E+00,,208.1593781,1.04E-02,,324.50049,3.68E-04,,208.15938,1.09E-02,,208.04835,0.00E+00,,208.1593812,0.00E+00,,208.1593812,0.00E+00,,208.2,0.00E+00
,208.25055,0.00E+00,,208.36278,0.00E+00,,204.6276373,0.00E+00,,208.04,0.00E+00,,208.4,0.00E+00,,208.4,0.00E+00,,208.3627758,0.00E+00,,208.36278,0.00E+00,,208.36278,0.00E+00,,391,0.00E+00,,208.2505521,0.00E+00,,208.4,0.00E+00,,208.3627777,2.55E-03,,324.60943,3.88E-04,,208.36278,0.00E+00,,208.25055,0.00E+00,,208.3627758,0.00E+00,,208.3627758,0.00E+00,,208.4,0.00E+00
,208.45278,0.00E+00,,208.56619,0.00E+00,,204.8358861,0.00E+00,,208.24,0.00E+00,,208.6,0.00E+00,,208.6,0.00E+00,,208.5661873,0.00E+00,,208.56619,0.00E+00,,208.56619,1.69E-04,,392,0.00E+00,,208.4527761,0.00E+00,,208.6,0.00E+00,,208.5661926,-6.99E-03,,324.71837,3.54E-04,,208.56619,6.97E-03,,208.45278,0.00E+00,,208.5661873,0.00E+00,,208.5661873,0.00E+00,,208.6,0.00E+00
,208.65502,0.00E+00,,208.76962,0.00E+00,,205.0441461,0.00E+00,,208.44,0.00E+00,,208.8,0.00E+00,,208.8,0.00E+00,,208.7696159,0.00E+00,,208.76962,0.00E+00,,208.76962,0.00E+00,,393,0.00E+00,,208.6550188,0.00E+00,,208.8,0.00E+00,,208.7696228,-5.24E-03,,324.82732,3.72E-04,,208.76962,0.00E+00,,208.65502,0.00E+00,,208.7696159,0.00E+00,,208.7696159,0.00E+00,,208.8,0.00E+00
,208.85728,0.00E+00,,208.97306,0.00E+00,,205.2524171,0.00E+00,,208.65,0.00E+00,,209.0,0.00E+00,,209.0,0.00E+00,,208.9730614,0.00E+00,,208.97306,0.00E+00,,208.97307,1.25E-04,,394,0.00E+00,,208.8572802,0.00E+00,,209.0,0.00E+00,,208.9730682,7.44E-03,,324.93627,3.35E-04,,208.97307,1.25E-02,,208.85728,0.00E+00,,208.9730614,0.00E+00,,208.9730614,0.00E+00,,209.0,0.00E+00
,209.05956,0.00E+00,,209.17652,0.00E+00,,205.4606992,0.00E+00,,208.85,0.00E+00,,209.2,0.00E+00,,209.2,0.00E+00,,209.176524,0.00E+00,,209.17652,0.00E+00,,209.17653,0.00E+00,,395,0.00E+00,,209.0595602,0.00E+00,,209.2,0.00E+00,,209.1765289,-1.12E-03,,325.04523,3.63E-04,,209.17653,0.00E+00,,209.05956,0.00E+00,,209.176524,0.00E+00,,209.176524,0.00E+00,,209.2,0.00E+00
