,,A Comparisons of Thorlabs' Thin Film Silver Mirror Coatings,,,,,
,,Protected Silver (-P01),,Protected Silver (-P02),,Ultrafast-Enhanced Silver (-AG),
,,Wavelength (µm),Reflectance (%),Wavelength (µm),Reflectance (%),Wavelength (µm),Reflectance (%)
,,3.639,97.55476,3.34328,98.59732,,
,,3.6492,97.54755,3.35101,98.63587,,
,,3.65913,97.54057,3.35873,98.66302,,
,,3.66905,97.53369,3.36645,98.66422,,
,,3.67897,97.52691,3.37417,98.65552,,
,,3.68913,97.52008,3.38189,98.63592,,
,,3.69904,97.51348,3.38961,98.61802,,
,,3.70893,97.50697,3.39733,98.60412,,
,,3.71908,97.50042,3.40505,98.60162,,
,,3.72896,97.49409,3.41278,98.58362,,
,,3.7391,97.48773,3.4205,98.58837,,
,,3.74897,97.48158,3.42822,98.59137,,
,,3.75909,97.4754,3.43594,98.61592,,
,,3.76895,97.46942,3.44366,98.62437,,
,,3.77906,97.46342,3.45138,98.63177,,
,,3.7889,97.45761,3.4591,98.64922,,
,,3.79899,97.45178,3.46682,98.65232,,
,,3.80908,97.44604,3.47455,98.63742,,
,,3.8189,97.44049,3.48227,98.63397,,
,,3.82898,97.43491,3.48999,98.63347,,
,,3.83904,97.42943,3.49771,98.61982,,
,,3.8491,97.42402,3.50543,98.62197,,
,,3.8589,97.41879,3.51315,98.61197,,
,,3.86894,97.41355,3.52087,98.60792,,
,,3.87898,97.40839,3.52859,98.61992,,
,,3.88901,97.40331,3.53631,98.62422,,
,,3.89903,97.39831,3.54404,98.63017,,
,,3.90905,97.39339,3.55176,98.63562,,
,,3.91906,97.38855,3.55948,98.63947,,
,,3.9288,97.38386,3.5672,98.64767,,
,,3.9388,97.37917,3.57492,98.64202,,
,,3.94904,97.37448,3.58264,98.64677,,
,,3.95902,97.36994,3.59036,98.64847,,
,,3.96899,97.36548,3.59808,98.64282,,
,,3.97896,97.36109,3.60581,98.64137,,
,,3.98892,97.35677,3.61353,98.64797,,
,,3.99887,97.35253,3.62125,98.65627,,
,,4.00881,97.34835,3.62897,98.66472,,
,,4.019,97.34419,3.63669,98.67667,,
,,4.02893,97.34016,3.64441,98.68137,,
,,4.03885,97.3362,3.65213,98.68842,,
,,4.04876,97.3323,3.65985,98.69772,,
,,4.05892,97.32842,3.66758,98.69382,,
,,4.06882,97.32466,3.6753,98.69967,,
,,4.07896,97.32092,3.68302,98.69782,,
,,4.08885,97.31729,3.69074,98.69337,,
,,4.09872,97.31373,3.69846,98.69537,,
,,4.10884,97.31019,3.70618,98.70887,,
,,4.1187,97.30676,3.7139,98.71437,,
,,4.12881,97.30335,3.72162,98.71137,,
,,4.1389,97.3,3.72935,98.70837,,
,,4.14874,97.29676,3.73707,98.70987,,
,,4.15882,97.29354,3.74479,98.72087,,
,,4.16889,97.29038,3.75251,98.72737,,
,,4.1787,97.28732,3.76023,98.72987,,
,,4.18876,97.28429,3.76795,98.72787,,
,,4.19881,97.28131,3.77567,98.73287,,
,,4.20885,97.27839,3.78339,98.72637,,
,,4.21888,97.27554,3.79111,98.72887,,
,,4.22865,97.27277,3.79884,98.72887,,
,,4.23867,97.27003,3.80656,98.73237,,
,,4.24867,97.26735,3.81428,98.73187,,
,,4.25867,97.26472,3.822,98.74537,,
,,4.26866,97.26215,3.82972,98.75137,,
,,4.27865,97.25963,3.83744,98.75187,,
,,4.28862,97.25717,3.84516,98.74837,,
,,4.29883,97.25474,3.85288,98.74637,,
,,4.30879,97.25239,3.86061,98.74387,,
,,4.31874,97.25009,3.86833,98.74537,,
,,4.32868,97.24784,3.87605,98.74987,,
,,4.33861,97.24564,3.88377,98.75987,,
,,4.34878,97.24348,3.89149,98.75337,,
,,4.3587,97.24138,3.89921,98.74637,,
,,4.3686,97.23934,3.90693,98.74587,,
,,4.37875,97.23733,3.91465,98.74187,,
,,4.38864,97.23538,3.92238,98.73437,,
,,4.39876,97.23347,3.9301,98.73537,,
,,4.40864,97.23161,3.93782,98.73087,,
,,4.41875,97.2298,3.94554,98.73237,,
,,4.4286,97.22804,3.95326,98.73087,,
,,4.43869,97.22632,3.96098,98.73887,,
,,4.44853,97.22465,3.9687,98.74237,,
,,4.4586,97.22302,3.97642,98.74187,,
,,4.46866,97.22143,3.98415,98.73787,,
,,4.47872,97.21989,3.99187,98.73487,,
,,4.48852,97.2184,3.99959,98.72587,,
,,4.49856,97.21694,4.00731,98.73237,,
