,,A Comparisons of Thorlabs' Thin Film Silver Mirror Coatings,,,,,
,,Protected Silver (-P01),,Protected Silver (-P02),,Ultrafast-Enhanced Silver (-AG),
,,Wavelength (µm),Reflectance (%),Wavelength (µm),Reflectance (%),Wavelength (µm),Reflectance (%)
,,16.85126,96.79108,13.5507,97.19502,,
,,16.86217,96.78958,13.5584,97.20557,,
,,16.87309,96.78805,13.5662,97.21602,,
,,16.88127,96.78634,13.5739,97.22647,,
,,16.89219,96.78479,13.5816,97.23247,,
,,16.90037,96.78306,13.5893,97.23812,,
,,16.91128,96.78147,13.5971,97.24372,,
,,16.92219,96.77987,13.6048,97.24927,,
,,16.93038,96.7781,13.6125,97.25397,,
,,16.94129,96.82647,13.6202,97.25667,,
,,16.9522,96.82482,13.6279,97.25932,,
,,16.96038,96.82301,13.6357,97.26197,,
,,16.97129,96.82133,13.6434,97.26467,,
,,16.9822,96.81963,13.6511,97.26842,,
,,16.99039,96.81778,13.6588,97.27272,,
,,17.0013,96.81605,13.6665,97.27702,,
,,17.0122,96.81431,13.6743,97.28132,,
,,17.02039,96.81242,13.682,97.28562,,
,,17.03129,96.81064,13.6897,97.29067,,
,,17.0422,96.80885,13.6974,97.29567,,
,,17.05038,96.80693,13.7052,97.30067,,
,,17.06129,96.8051,13.7129,97.30567,,
,,17.0722,96.80325,13.7206,97.30972,,
,,17.08038,96.8013,13.7283,97.31177,,
,,17.09129,96.79942,13.736,97.31387,,
,,17.10219,96.79753,13.7438,97.31587,,
,,17.11037,96.79553,13.7515,97.31797,,
,,17.12128,96.79361,13.7592,97.31892,,
,,17.13218,96.79167,13.7669,97.31912,,
,,17.14036,96.78964,13.7746,97.31932,,
,,17.15127,96.78767,13.7824,97.31957,,
,,17.16217,96.78567,13.7901,97.31977,,
,,17.17035,96.78361,13.7978,97.32237,,
,,17.18125,96.78159,13.8055,97.32537,,
,,17.19216,96.77955,13.8132,97.32832,,
,,17.20033,96.77745,13.821,97.33127,,
,,17.21124,96.77538,13.8287,97.33447,,
,,17.22214,96.77329,13.8364,97.33992,,
,,17.23032,96.77115,13.8441,97.34532,,
,,17.24122,96.76903,13.8519,97.35077,,
,,17.25212,96.7669,13.8596,97.35617,,
,,17.2603,96.76473,13.8673,97.36057,,
,,17.2712,96.76256,13.875,97.36262,,
,,17.2821,96.76038,13.8827,97.36472,,
,,17.29027,96.75817,13.8905,97.36682,,
,,17.30118,96.75596,13.8982,97.36892,,
,,17.31208,96.75373,13.9059,97.36877,,
,,17.32025,96.75148,13.9136,97.36642,,
,,17.33115,96.74923,13.9213,97.36407,,
,,17.34205,96.74695,13.9291,97.36172,,
,,17.35022,96.74467,13.9368,97.35937,,
,,17.36112,96.74237,13.9445,97.35712,,
,,17.37202,96.74004,13.9522,97.35497,,
,,17.38019,96.73773,13.96,97.35282,,
,,17.39109,96.73538,13.9677,97.35072,,
,,17.40199,96.73301,13.9754,97.34852,,
,,17.41016,96.73066,13.9831,97.34777,,
,,17.42106,96.72826,13.9908,97.34737,,
,,17.43195,96.72585,13.9986,97.34697,,
,,17.44012,96.72347,14.0063,97.34662,,
,,17.45102,96.72102,14.014,97.34622,,
,,17.46192,96.71857,14.0217,97.34677,,
,,17.47009,96.71615,14.0294,97.34742,,
,,17.48098,96.71366,14.0372,97.34802,,
,,17.49188,96.71116,14.0449,97.34867,,
,,17.50005,96.70871,14.0526,97.34937,,
,,17.51094,96.70618,14.0603,97.35212,,
,,17.52183,96.70363,14.068,97.35487,,
,,17.53273,96.70107,14.0758,97.35767,,
,,17.5409,96.69857,14.0835,97.36047,,
,,17.55179,96.69598,14.0912,97.36337,,
,,17.56268,96.69338,14.0989,97.36777,,
,,17.57085,96.69085,14.1067,97.37217,,
,,17.58174,96.68822,14.1144,97.37662,,
,,17.59263,96.68557,14.1221,97.38102,,
,,17.6008,96.68301,14.1298,97.38532,,
,,17.61169,96.68033,14.1375,97.38822,,
,,17.62258,96.67764,14.1453,97.39112,,
,,17.63075,96.67505,14.153,97.39397,,
,,17.64164,96.67234,14.1607,97.39687,,
,,17.65253,96.66961,14.1684,97.39957,,
,,17.66069,96.66699,14.1761,97.39927,,
,,17.67158,96.66423,14.1839,97.39897,,
,,17.68247,96.66146,14.1916,97.39872,,
,,17.69064,96.65881,14.1993,97.39842,,
,,17.70152,96.65601,14.207,97.39812,,
,,17.71241,96.6532,14.2148,97.39627,,
,,17.72058,96.65052,14.2225,97.39442,,
,,17.73146,96.64768,14.2302,97.39257,,
,,17.74235,96.64483,14.2379,97.39072,,
,,17.75052,96.64212,14.2456,97.38887,,
,,17.7614,96.63925,14.2534,97.39002,,
,,17.77229,96.63636,14.2611,97.39117,,
,,17.78045,96.63362,14.2688,97.39232,,
,,17.79134,96.63071,14.2765,97.39352,,
,,17.80222,96.62778,14.2842,97.39472,,
,,17.81038,96.62502,14.292,97.40112,,
,,17.82127,96.62207,14.2997,97.40817,,
,,17.83215,96.61911,14.3074,97.41517,,
,,17.84031,96.61632,14.3151,97.42212,,
,,17.8512,96.61333,14.3228,97.42912,,
,,17.86208,96.61034,14.3306,97.43692,,
,,17.87024,96.60752,14.3383,97.44487,,
,,17.88112,96.6045,14.346,97.45282,,
,,17.892,96.60147,14.3537,97.46072,,
,,17.90017,96.59863,14.3615,97.46867,,
,,17.91105,96.59558,14.3692,97.47322,,
,,17.92193,96.59251,14.3769,97.47592,,
,,17.93009,96.58965,14.3846,97.47862,,
,,17.94097,96.58656,14.3923,97.48137,,
,,17.95185,96.58346,14.4001,97.48402,,
,,17.96001,96.58058,14.4078,97.48547,,
,,17.97089,96.57746,14.4155,97.48547,,
,,17.98177,96.57433,14.4232,97.48547,,
,,17.98992,96.57142,14.4309,97.48547,,
,,18.0008,96.56827,14.4387,97.48547,,
,,18.01168,96.56512,14.4464,97.48642,,
,,18.01984,96.56219,14.4541,97.48977,,
,,18.03072,96.55901,14.4618,97.49312,,
,,18.04159,96.55582,14.4696,97.49647,,
,,18.04975,96.55287,14.4773,97.49982,,
,,18.06063,96.54967,14.485,97.50332,,
,,18.0715,96.54645,14.4927,97.50982,,
,,18.08238,96.54323,14.5004,97.51637,,
,,18.09053,96.54025,14.5082,97.52282,,
,,18.10141,96.53701,14.5159,97.52932,,
,,18.11228,96.53376,14.5236,97.53582,,
,,18.12044,96.53077,14.5313,97.54147,,
,,18.13131,96.5275,14.539,97.54682,,
,,18.14219,96.52423,14.5468,97.55222,,
,,18.15034,96.52122,14.5545,97.55767,,
,,18.16121,96.51793,14.5622,97.56302,,
,,18.17209,96.51464,14.5699,97.56657,,
,,18.18024,96.51161,14.5776,97.56847,,
,,18.19111,96.5083,14.5854,97.57037,,
,,18.20199,96.50498,14.5931,97.57232,,
,,18.21014,96.50194,14.6008,97.57422,,
,,18.22101,96.49861,14.6085,97.57547,,
,,18.23188,96.49527,14.6163,97.57432,,
,,18.24003,96.49222,14.624,97.57317,,
,,18.2509,96.48887,14.6317,97.57207,,
,,18.26177,96.48551,14.6394,97.57092,,
,,18.26992,96.48245,14.6471,97.56982,,
,,18.28079,96.47908,14.6549,97.56782,,
,,18.29166,96.47571,14.6626,97.56572,,
,,18.29981,96.47263,14.6703,97.56362,,
,,18.31068,96.46925,14.678,97.56152,,
,,18.32155,96.46587,14.6857,97.55937,,
,,18.3297,96.46278,14.6935,97.55692,,
,,18.34057,96.45938,14.7012,97.55407,,
,,18.35143,96.45598,14.7089,97.55117,,
,,18.35958,96.45289,14.7166,97.54827,,
,,18.37045,96.44948,14.7244,97.54537,,
,,18.38132,96.44607,14.7321,97.54242,,
,,18.39218,96.44266,14.7398,97.53792,,
,,18.40033,96.43955,14.7475,97.53352,,
,,18.4112,96.43613,14.7552,97.52902,,
,,18.42206,96.43271,14.763,97.52462,,
,,18.43021,96.4296,14.7707,97.52017,,
,,18.44107,96.42617,14.7784,97.51752,,
,,18.45193,96.42274,14.7861,97.51587,,
,,18.46008,96.41963,14.7938,97.51422,,
,,18.47094,96.41619,14.8016,97.51252,,
,,18.48181,96.41276,14.8093,97.51087,,
,,18.48995,96.40965,14.817,97.51117,,
,,18.50082,96.40621,14.8247,97.52057,,
,,18.51168,96.40277,14.8324,97.52987,,
,,18.51982,96.39966,14.8402,97.53917,,
,,18.53068,96.39622,14.8479,97.54847,,
,,18.54154,96.39278,14.8556,97.55777,,
,,18.54969,96.38966,14.8633,97.57597,,
,,18.56055,96.38622,14.8711,97.59827,,
,,18.57141,96.38279,14.8788,97.62057,,
,,18.57955,96.37968,14.8865,97.64277,,
,,18.59041,96.37624,14.8942,97.66507,,
,,18.60127,96.3728,14.9019,97.68652,,
,,18.61213,96.36937,14.9097,97.70382,,
,,18.62027,96.36627,14.9174,97.72112,,
,,18.63113,96.36284,14.9251,97.73837,,
,,18.64199,96.35941,14.9328,97.75567,,
,,18.65013,96.35632,14.9405,97.77287,,
,,18.66099,96.35289,14.9483,97.76867,,
,,18.67184,96.34947,14.956,97.74972,,
,,18.67998,96.34639,14.9637,97.73077,,
,,18.69084,96.34297,14.9714,97.71182,,
,,18.70169,96.33957,14.9792,97.69287,,
,,18.70984,96.33649,14.9869,97.67397,,
,,18.72069,96.33309,14.9946,97.64162,,
,,18.73154,96.3297,15.0023,97.60927,,
,,18.73968,96.32663,15.01,97.57687,,
,,18.75054,96.32325,15.0178,97.54457,,
,,18.76139,96.31987,15.0255,97.51227,,
,,18.76953,96.31682,15.0332,97.48662,,
,,18.78038,96.31345,15.0409,97.47232,,
,,18.79124,96.31009,15.0486,97.45797,,
,,18.79937,96.30706,15.0564,97.44362,,
,,18.81023,96.30371,15.0641,97.42932,,
,,18.82108,96.30037,15.0718,97.41502,,
,,18.83193,96.29704,15.0795,97.41062,,
,,18.84006,96.29404,15.0872,97.41027,,
,,18.85092,96.29072,15.095,97.40987,,
,,18.86176,96.28741,15.1027,97.40952,,
,,18.8699,96.28443,15.1104,97.40912,,
,,18.88075,96.28114,15.1181,97.40887,,
,,18.8916,96.27786,15.1259,97.41377,,
,,18.89974,96.2749,15.1336,97.41867,,
,,18.91058,96.27163,15.1413,97.42357,,
,,18.92143,96.26838,15.149,97.42847,,
,,18.92957,96.26545,15.1567,97.43337,,
,,18.94041,96.26222,15.1645,97.43792,,
,,18.95126,96.259,15.1722,97.44172,,
,,18.9594,96.25609,15.1799,97.44552,,
,,18.97024,96.2529,15.1876,97.44937,,
,,18.98109,96.24972,15.1953,97.45317,,
,,18.98922,96.24684,15.2031,97.45697,,
,,19.00007,96.24368,15.2108,97.45797,,
,,19.01091,96.24054,15.2185,97.45647,,
,,19.02176,96.23741,15.2262,97.45497,,
,,19.02989,96.23458,15.234,97.45352,,
,,19.04073,96.23148,15.2417,97.45207,,
,,19.05158,96.22839,15.2494,97.45057,,
,,19.05971,96.22559,15.2571,97.44707,,
,,19.07055,96.22254,15.2648,97.44282,,
,,19.08139,96.21949,15.2726,97.43862,,
,,19.08952,96.21674,15.2803,97.43437,,
,,19.10037,96.21373,15.288,97.43017,,
,,19.11121,96.21074,15.2957,97.42597,,
,,19.11934,96.20802,15.3034,97.42387,,
,,19.13018,96.20506,15.3112,97.42192,,
,,19.14102,96.20212,15.3189,97.42002,,
,,19.14915,96.19945,15.3266,97.41812,,
,,19.15999,96.19654,15.3343,97.41617,,
,,19.17083,96.19366,15.342,97.41437,,
,,19.18167,96.1908,15.3498,97.41417,,
,,19.18979,96.18819,15.3575,97.41397,,
,,19.20063,96.18536,15.3652,97.41367,,
,,19.21147,96.18256,15.3729,97.41347,,
,,19.2196,96.18,15.3807,97.41327,,
,,19.23043,96.17724,15.3884,97.41287,,
,,19.24127,96.1745,15.3961,97.41142,,
,,19.2494,96.17199,15.4038,97.41007,,
,,19.26023,96.16929,15.4115,97.40867,,
,,19.27107,96.16662,15.4193,97.40727,,
,,19.2792,96.16417,15.427,97.40587,,
,,19.29003,96.16154,15.4347,97.40417,,
,,19.30087,96.15894,15.4424,97.40147,,
,,19.3117,96.15637,15.4501,97.39882,,
,,19.31983,96.15399,15.4579,97.39607,,
,,19.33066,96.15146,15.4656,97.39342,,
,,19.34149,96.14897,15.4733,97.39072,,
,,19.34962,96.14665,15.481,97.38772,,
,,19.36045,96.1442,15.4888,97.38397,,
,,19.37128,96.14179,15.4965,97.38022,,
,,19.37941,96.13953,15.5042,97.37637,,
,,19.39024,96.13717,15.5119,97.37262,,
,,19.40107,96.13484,15.5196,97.36887,,
,,19.40919,96.13265,15.5274,97.36447,,
,,19.42002,96.13037,15.5351,97.35842,,
,,19.43085,96.12813,15.5428,97.35227,,
,,19.43898,96.12601,15.5505,97.34617,,
,,19.44981,96.12382,15.5582,97.34012,,
,,19.46063,96.12167,15.566,97.33397,,
,,19.47146,96.11955,15.5737,97.32762,,
,,19.47958,96.11754,15.5814,97.32002,,
,,19.49041,96.11548,15.5891,97.31247,,
,,19.50124,96.11345,15.5968,97.30492,,
,,19.50936,96.11152,15.6046,97.29737,,
,,19.52019,96.10956,15.6123,97.28982,,
,,19.53101,96.10763,15.62,97.28252,,
,,19.53913,96.10578,15.6277,97.27677,,
,,19.54996,96.10392,15.6355,97.27102,,
,,19.56079,96.10211,15.6432,97.26527,,
,,19.5689,96.10034,15.6509,97.25957,,
,,19.57973,96.09859,15.6586,97.25382,,
,,19.59055,96.09688,15.6663,97.24812,,
,,19.60138,96.09522,15.6741,97.24427,,
,,19.6095,96.09356,15.6818,97.24042,,
,,19.62032,96.09197,15.6895,97.23652,,
,,19.63114,96.09042,15.6972,97.23262,,
,,19.63926,96.08886,15.7049,97.22877,,
,,19.65008,96.08739,15.7127,97.22487,,
,,19.6609,96.08596,15.7204,97.21982,,
,,19.66902,96.08449,15.7281,97.21462,,
,,19.67984,96.08314,15.7358,97.20937,,
,,19.69066,96.08184,15.7436,97.20417,,
,,19.70148,96.08058,15.7513,97.19897,,
,,19.7096,96.07925,15.759,97.19377,,
,,19.72042,96.07808,15.7667,97.18767,,
,,19.73124,96.07695,15.7744,97.18112,,
,,19.73935,96.07572,15.7822,97.17457,,
,,19.75017,96.07468,15.7899,97.16807,,
,,19.76099,96.07369,15.7976,97.16157,,
,,19.7691,96.07258,15.8053,97.15507,,
,,19.77992,96.07167,15.813,97.14947,,
,,19.79074,96.07082,15.8208,97.14477,,
,,19.79885,96.06982,15.8285,97.14007,,
,,19.80967,96.06906,15.8362,97.13542,,
,,19.82048,96.06836,15.8439,97.13072,,
,,19.8313,96.0677,15.8516,97.12607,,
,,19.83941,96.06686,15.8594,97.12202,,
,,19.85023,96.0663,15.8671,97.12012,,
,,19.86104,96.06581,15.8748,97.11822,,
,,19.86915,96.06508,15.8825,97.11632,,
,,19.87997,96.06468,15.8903,97.11442,,
,,19.89078,96.06434,15.898,97.11257,,
,,19.89889,96.06374,15.9057,97.11067,,
,,19.9097,96.0635,15.9134,97.10957,,
,,19.92052,96.06332,15.9211,97.10857,,
,,19.93133,96.0632,15.9289,97.10752,,
,,19.93944,96.06277,15.9366,97.10647,,
,,19.95025,96.06276,15.9443,97.10547,,
,,19.96106,96.06281,15.952,97.10447,,
,,19.96917,96.06252,15.9597,97.10292,,
,,19.97998,96.06268,15.9675,97.10102,,
,,19.99079,96.06291,15.9752,97.09912,,
,,19.9989,96.06275,15.9829,97.09722,,
,,,,15.9906,97.09532,,
,,,,15.9984,97.09347,,
,,,,16.0061,97.09187,,
,,,,16.0138,97.09142,,
,,,,16.0215,97.09097,,
,,,,16.0292,97.09052,,
,,,,16.037,97.09007,,
,,,,16.0447,97.08962,,
,,,,16.0524,97.08922,,
,,,,16.0601,97.09362,,
,,,,16.0678,97.09942,,
,,,,16.0756,97.10512,,
,,,,16.0833,97.11092,,
,,,,16.091,97.11667,,
,,,,16.0987,97.12237,,
,,,,16.1064,97.12977,,
,,,,16.1142,97.14047,,
,,,,16.1219,97.15117,,
,,,,16.1296,97.16192,,
,,,,16.1373,97.17257,,
,,,,16.1451,97.18327,,
,,,,16.1528,97.19392,,
,,,,16.1605,97.20167,,
,,,,16.1682,97.20882,,
,,,,16.1759,97.21597,,
,,,,16.1837,97.22312,,
,,,,16.1914,97.23017,,
,,,,16.1991,97.23732,,
,,,,16.2068,97.24182,,
,,,,16.2145,97.24012,,
,,,,16.2223,97.23832,,
,,,,16.23,97.23662,,
,,,,16.2377,97.23482,,
,,,,16.2454,97.23312,,
,,,,16.2532,97.23132,,
,,,,16.2609,97.22597,,
,,,,16.2686,97.21907,,
,,,,16.2763,97.21217,,
,,,,16.284,97.20532,,
,,,,16.2918,97.19847,,
,,,,16.2995,97.19162,,
,,,,16.3072,97.18492,,
,,,,16.3149,97.17967,,
,,,,16.3226,97.17447,,
,,,,16.3304,97.16927,,
,,,,16.3381,97.16402,,
,,,,16.3458,97.15882,,
,,,,16.3535,97.15362,,
,,,,16.3612,97.15052,,
,,,,16.369,97.15012,,
,,,,16.3767,97.14967,,
,,,,16.3844,97.14932,,
,,,,16.3921,97.14892,,
,,,,16.3999,97.14852,,
,,,,16.4076,97.14812,,
,,,,16.4153,97.15017,,
,,,,16.423,97.15307,,
,,,,16.4307,97.15597,,
,,,,16.4385,97.15892,,
,,,,16.4462,97.16177,,
,,,,16.4539,97.16472,,
,,,,16.4616,97.16757,,
,,,,16.4693,97.17172,,
,,,,16.4771,97.17592,,
,,,,16.4848,97.18002,,
,,,,16.4925,97.18422,,
,,,,16.5002,97.18842,,
,,,,16.508,97.19252,,
,,,,16.5157,97.19702,,
,,,,16.5234,97.20277,,
,,,,16.5311,97.20862,,
,,,,16.5388,97.21437,,
,,,,16.5466,97.22017,,
,,,,16.5543,97.22592,,
,,,,16.562,97.23172,,
,,,,16.5697,97.23757,,
,,,,16.5774,97.24367,,
,,,,16.5852,97.24972,,
,,,,16.5929,97.25582,,
,,,,16.6006,97.26192,,
,,,,16.6083,97.26797,,
,,,,16.616,97.27402,,
,,,,16.6238,97.27827,,
,,,,16.6315,97.28057,,
,,,,16.6392,97.28287,,
,,,,16.6469,97.28512,,
,,,,16.6547,97.28742,,
,,,,16.6624,97.28967,,
,,,,16.6701,97.29197,,
,,,,16.6778,97.29147,,
,,,,16.6855,97.28872,,
,,,,16.6933,97.28602,,
,,,,16.701,97.28332,,
,,,,16.7087,97.28067,,
,,,,16.7164,97.27797,,
,,,,16.7241,97.27527,,
,,,,16.7319,97.27137,,
,,,,16.7396,97.26662,,
,,,,16.7473,97.26192,,
,,,,16.755,97.25722,,
,,,,16.7628,97.25247,,
,,,,16.7705,97.24782,,
,,,,16.7782,97.24307,,
,,,,16.7859,97.23897,,
,,,,16.7936,97.23532,,
,,,,16.8014,97.23172,,
,,,,16.8091,97.22807,,
,,,,16.8168,97.22447,,
,,,,16.8245,97.22082,,
,,,,16.8322,97.21722,,
,,,,16.84,97.21452,,
,,,,16.8477,97.21272,,
,,,,16.8554,97.21082,,
,,,,16.8631,97.20902,,
,,,,16.8708,97.20717,,
,,,,16.8786,97.20537,,
,,,,16.8863,97.20357,,
,,,,16.894,97.20222,,
,,,,16.9017,97.20147,,
,,,,16.9095,97.20077,,
,,,,16.9172,97.20007,,
,,,,16.9249,97.19937,,
,,,,16.9326,97.19862,,
,,,,16.9403,97.19792,,
,,,,16.9481,97.19762,,
,,,,16.9558,97.19827,,
,,,,16.9635,97.19892,,
,,,,16.9712,97.19957,,
,,,,16.9789,97.20027,,
,,,,16.9867,97.20087,,
,,,,16.9944,97.20157,,
,,,,17.0021,97.20232,,
,,,,17.0098,97.20497,,
,,,,17.0176,97.20757,,
,,,,17.0253,97.21017,,
,,,,17.033,97.21277,,
,,,,17.0407,97.21537,,
,,,,17.0484,97.21802,,
,,,,17.0562,97.22062,,
,,,,17.0639,97.22312,,
,,,,17.0716,97.22567,,
,,,,17.0793,97.22812,,
,,,,17.087,97.23067,,
,,,,17.0948,97.23317,,
,,,,17.1025,97.23567,,
,,,,17.1102,97.23822,,
,,,,17.1179,97.23822,,
,,,,17.1256,97.23612,,
,,,,17.1334,97.23397,,
,,,,17.1411,97.23187,,
,,,,17.1488,97.22977,,
,,,,17.1565,97.22767,,
,,,,17.1643,97.22562,,
,,,,17.172,97.22232,,
,,,,17.1797,97.21462,,
,,,,17.1874,97.20687,,
,,,,17.1951,97.19912,,
,,,,17.2029,97.19142,,
,,,,17.2106,97.18367,,
,,,,17.2183,97.17597,,
,,,,17.226,97.16822,,
,,,,17.2337,97.16117,,
,,,,17.2415,97.15432,,
,,,,17.2492,97.14747,,
,,,,17.2569,97.14057,,
,,,,17.2646,97.13372,,
,,,,17.2724,97.12687,,
,,,,17.2801,97.12002,,
,,,,17.2878,97.11577,,
,,,,17.2955,97.11572,,
,,,,17.3032,97.11567,,
,,,,17.311,97.11572,,
,,,,17.3187,97.11567,,
,,,,17.3264,97.11567,,
,,,,17.3341,97.11562,,
,,,,17.3418,97.11562,,
,,,,17.3496,97.11877,,
,,,,17.3573,97.12222,,
,,,,17.365,97.12572,,
,,,,17.3727,97.12922,,
,,,,17.3804,97.13272,,
,,,,17.3882,97.13622,,
,,,,17.3959,97.13967,,
,,,,17.4036,97.14232,,
,,,,17.4113,97.14337,,
,,,,17.4191,97.14437,,
,,,,17.4268,97.14542,,
,,,,17.4345,97.14652,,
,,,,17.4422,97.14757,,
,,,,17.4499,97.14857,,
,,,,17.4577,97.14962,,
,,,,17.4654,97.14952,,
,,,,17.4731,97.14902,,
,,,,17.4808,97.14852,,
,,,,17.4885,97.14802,,
,,,,17.4963,97.14752,,
,,,,17.504,97.14707,,
,,,,17.5117,97.14652,,
,,,,17.5194,97.14632,,
,,,,17.5271,97.14812,,
,,,,17.5349,97.14987,,
,,,,17.5426,97.15162,,
,,,,17.5503,97.15337,,
,,,,17.558,97.15512,,
,,,,17.5658,97.15692,,
,,,,17.5735,97.15867,,
,,,,17.5812,97.16092,,
,,,,17.5889,97.16387,,
,,,,17.5966,97.16682,,
,,,,17.6044,97.16972,,
,,,,17.6121,97.17267,,
,,,,17.6198,97.17557,,
,,,,17.6275,97.17847,,
,,,,17.6352,97.18142,,
,,,,17.643,97.18167,,
,,,,17.6507,97.18082,,
,,,,17.6584,97.17997,,
,,,,17.6661,97.17912,,
,,,,17.6739,97.17827,,
,,,,17.6816,97.17742,,
,,,,17.6893,97.17657,,
,,,,17.697,97.17572,,
,,,,17.7047,97.16967,,
,,,,17.7125,97.16297,,
,,,,17.7202,97.15632,,
,,,,17.7279,97.14972,,
,,,,17.7356,97.14302,,
,,,,17.7433,97.13642,,
,,,,17.7511,97.12977,,
,,,,17.7588,97.12312,,
,,,,17.7665,97.11547,,
,,,,17.7742,97.10777,,
,,,,17.7819,97.10007,,
,,,,17.7897,97.09242,,
,,,,17.7974,97.08477,,
,,,,17.8051,97.07712,,
,,,,17.8128,97.06947,,
,,,,17.8206,97.06262,,
,,,,17.8283,97.06062,,
,,,,17.836,97.05857,,
,,,,17.8437,97.05657,,
,,,,17.8514,97.05457,,
,,,,17.8592,97.05257,,
,,,,17.8669,97.05052,,
,,,,17.8746,97.04847,,
,,,,17.8823,97.04752,,
,,,,17.89,97.05107,,
,,,,17.8978,97.05467,,
,,,,17.9055,97.05822,,
,,,,17.9132,97.06182,,
,,,,17.9209,97.06537,,
,,,,17.9287,97.06897,,
,,,,17.9364,97.07252,,
,,,,17.9441,97.07567,,
,,,,17.9518,97.07687,,
,,,,17.9595,97.07807,,
,,,,17.9673,97.07927,,
,,,,17.975,97.08052,,
,,,,17.9827,97.08167,,
,,,,17.9904,97.08287,,
,,,,17.9981,97.08412,,
,,,,18.0059,97.08462,,
,,,,18.0136,97.07907,,
,,,,18.0213,97.07352,,
,,,,18.029,97.06797,,
,,,,18.0367,97.06247,,
,,,,18.0445,97.05697,,
,,,,18.0522,97.05147,,
,,,,18.0599,97.04597,,
,,,,18.0676,97.04042,,
,,,,18.0754,97.03592,,
,,,,18.0831,97.03147,,
,,,,18.0908,97.02702,,
,,,,18.0985,97.02247,,
,,,,18.1062,97.01802,,
,,,,18.114,97.01357,,
,,,,18.1217,97.00912,,
,,,,18.1294,97.00467,,
,,,,18.1371,97.00682,,
,,,,18.1448,97.01077,,
,,,,18.1526,97.01467,,
,,,,18.1603,97.01862,,
,,,,18.168,97.02252,,
,,,,18.1757,97.02642,,
,,,,18.1835,97.03037,,
,,,,18.1912,97.03427,,
,,,,18.1989,97.03942,,
,,,,18.2066,97.04567,,
,,,,18.2143,97.05187,,
,,,,18.2221,97.05812,,
,,,,18.2298,97.06437,,
,,,,18.2375,97.07057,,
,,,,18.2452,97.07672,,
,,,,18.2529,97.08292,,
,,,,18.2607,97.08747,,
,,,,18.2684,97.08717,,
,,,,18.2761,97.08692,,
,,,,18.2838,97.08662,,
,,,,18.2915,97.08637,,
,,,,18.2993,97.08607,,
,,,,18.307,97.08582,,
,,,,18.3147,97.08557,,
,,,,18.3224,97.08527,,
,,,,18.3302,97.07932,,
,,,,18.3379,97.07282,,
,,,,18.3456,97.06632,,
,,,,18.3533,97.05977,,
,,,,18.361,97.05327,,
,,,,18.3688,97.04677,,
,,,,18.3765,97.04027,,
,,,,18.3842,97.03377,,
,,,,18.3919,97.02557,,
,,,,18.3996,97.01552,,
,,,,18.4074,97.00552,,
,,,,18.4151,96.99552,,
,,,,18.4228,96.98552,,
,,,,18.4305,96.97552,,
,,,,18.4383,96.96557,,
,,,,18.446,96.95562,,
,,,,18.4537,96.94562,,
,,,,18.4614,96.93297,,
,,,,18.4691,96.92032,,
,,,,18.4769,96.90777,,
,,,,18.4846,96.89512,,
,,,,18.4923,96.88257,,
,,,,18.5,96.86997,,
,,,,18.5077,96.85742,,
,,,,18.5155,96.84487,,
,,,,18.5232,96.83312,,
,,,,18.5309,96.82222,,
,,,,18.5386,96.81142,,
,,,,18.5463,96.80062,,
,,,,18.5541,96.78977,,
,,,,18.5618,96.77897,,
,,,,18.5695,96.76817,,
,,,,18.5772,96.75737,,
,,,,18.585,96.74662,,
,,,,18.5927,96.74017,,
,,,,18.6004,96.73437,,
,,,,18.6081,96.72852,,
,,,,18.6158,96.72272,,
,,,,18.6236,96.71692,,
,,,,18.6313,96.71117,,
,,,,18.639,96.70537,,
,,,,18.6467,96.69957,,
,,,,18.6544,96.69352,,
,,,,18.6622,96.68662,,
,,,,18.6699,96.67977,,
,,,,18.6776,96.67287,,
,,,,18.6853,96.66602,,
,,,,18.6931,96.65917,,
,,,,18.7008,96.65232,,
,,,,18.7085,96.64542,,
,,,,18.7162,96.63862,,
,,,,18.7239,96.62802,,
,,,,18.7317,96.61357,,
,,,,18.7394,96.59912,,
,,,,18.7471,96.58467,,
,,,,18.7548,96.57027,,
,,,,18.7625,96.55587,,
,,,,18.7703,96.54152,,
,,,,18.778,96.52717,,
,,,,18.7857,96.51277,,
,,,,18.7934,96.49407,,
,,,,18.8011,96.47357,,
,,,,18.8089,96.45312,,
,,,,18.8166,96.43277,,
,,,,18.8243,96.41232,,
,,,,18.832,96.39192,,
,,,,18.8398,96.37152,,
,,,,18.8475,96.35117,,
,,,,18.8552,96.33082,,
,,,,18.8629,96.30707,,
,,,,18.8706,96.28277,,
,,,,18.8784,96.25847,,
,,,,18.8861,96.23422,,
,,,,18.8938,96.21002,,
,,,,18.9015,96.18582,,
,,,,18.9092,96.16162,,
,,,,18.917,96.13742,,
,,,,18.9247,96.11327,,
,,,,18.9324,96.08427,,
,,,,18.9401,96.05507,,
,,,,18.9479,96.02587,,
,,,,18.9556,95.99672,,
,,,,18.9633,95.96757,,
,,,,18.971,95.93847,,
,,,,18.9787,95.90932,,
,,,,18.9865,95.88027,,
,,,,18.9942,95.85122,,
,,,,19.0019,95.81927,,
,,,,19.0096,95.78722,,
,,,,19.0173,95.75517,,
,,,,19.0251,95.72322,,
,,,,19.0328,95.69122,,
,,,,19.0405,95.65932,,
