LED Item #,M365L3,,,M365L3,,,M365LP1,,,M375L4,,,M385L2,,,M385L3,,,M385LP1,,,M395L4,,,M395L5,,,M395LP1,,,M405L4,,,M405LP1,
Min Output Power (mW),880,,,880,,,1350,,,1270,,,270,,,1240,,,1650,,,400,,,1130,,,1420,,,1000,,,1200,
Scaling Constant,7.31E+01,,,7.31E+01,,,1.01E+02,,,1.61E+02,,,2.15E+01,,,9.84E+01,,,1.23E+02,,,2.42E+01,,,7.15E+01,,,8.98E+01,,,6.24E+01,,,7.33E+01,
Spectra,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm)
,2.08E+02,3.17E-02,,2.08E+02,3.17E-02,,207.6439917,-3.17E-02,,183.71787,0.00E+00,,323.40408,0.00E+00,,207.75264,3.44E-02,,207.6439917,0.00E+00,,207.64399,0.00E+00,,207.7526398,3.37E-02,,207.7526398,4.24E-02,,200.7172394,0.00E+00,,207.6439917,0.00E+00
,2.08E+02,4.67E-02,,2.08E+02,4.67E-02,,207.8461598,-2.07E-02,,183.78733,0.00E+00,,323.5183,7.45E-03,,207.95601,-7.76E-02,,207.8461598,0.00E+00,,207.84616,0.00E+00,,207.9560089,-1.15E-02,,207.9560089,-1.45E-02,,200.9225769,0.00E+00,,207.8461598,0.00E+00
,2.08E+02,9.46E-02,,2.08E+02,9.46E-02,,208.0483466,1.79E-02,,183.85679,0.00E+00,,323.63251,0.00E+00,,208.15938,1.15E-02,,208.0483466,0.00E+00,,208.04835,0.00E+00,,208.1593781,1.78E-02,,208.1593781,2.24E-02,,201.1279144,0.00E+00,,208.0483466,0.00E+00
,2.08E+02,2.63E-02,,2.08E+02,2.63E-02,,208.2505521,-3.42E-02,,183.92626,0.00E+00,,323.74671,6.34E-03,,208.36278,-1.82E-02,,208.2505521,0.00E+00,,208.25055,0.00E+00,,208.3627777,4.04E-03,,208.3627777,5.07E-03,,201.3332672,0.00E+00,,208.2505521,0.00E+00
,2.09E+02,2.92E-02,,2.09E+02,2.92E-02,,208.4527761,4.81E-03,,183.99573,0.00E+00,,323.86092,0.00E+00,,208.56619,3.58E-02,,208.4527761,0.00E+00,,208.45278,0.00E+00,,208.5661926,7.87E-02,,208.5661926,9.88E-02,,201.5386353,0.00E+00,,208.4527761,0.00E+00
,2.09E+02,-4.14E-02,,2.09E+02,-4.14E-02,,208.6550188,-8.27E-02,,184.06521,0.00E+00,,323.97512,1.86E-03,,208.76962,-5.68E-02,,208.6550188,0.00E+00,,208.65502,0.00E+00,,208.7696228,-1.27E-03,,208.7696228,-1.59E-03,,201.7440338,0.00E+00,,208.6550188,0.00E+00
,2.09E+02,5.71E-02,,2.09E+02,5.71E-02,,208.8572802,4.74E-02,,184.13470,0.00E+00,,324.08932,8.97E-03,,208.97307,1.63E-02,,208.8572802,0.00E+00,,208.85728,0.00E+00,,208.9730682,4.82E-02,,208.9730682,6.06E-02,,201.9494324,0.00E+00,,208.8572802,0.00E+00
,2.09E+02,3.02E-02,,2.09E+02,3.02E-02,,209.0595602,-7.66E-02,,184.20419,0.00E+00,,324.20351,1.45E-02,,209.17653,-5.06E-02,,209.0595602,0.00E+00,,209.05956,0.00E+00,,209.1765289,-3.56E-02,,209.1765289,-4.47E-02,,202.1548462,0.00E+00,,209.0595602,0.00E+00
,2.09E+02,7.41E-02,,2.09E+02,7.41E-02,,209.2618587,-1.00E-02,,184.27368,0.00E+00,,324.3177,5.98E-03,,209.38000,5.96E-02,,209.2618587,0.00E+00,,209.26186,0.00E+00,,209.3800049,5.43E-02,,209.3800049,6.82E-02,,202.36026,0.00E+00,,209.2618587,0.00E+00
,2.10E+02,-5.14E-03,,2.10E+02,-5.14E-03,,209.464176,-1.30E-01,,184.34318,0.00E+00,,324.43188,1.64E-02,,209.58350,-3.68E-02,,209.464176,0.00E+00,,209.46418,0.00E+00,,209.5834961,-7.13E-02,,209.5834961,-8.96E-02,,202.5657043,0.00E+00,,209.464176,0.00E+00
,2.10E+02,4.96E-02,,2.10E+02,4.96E-02,,209.6665118,6.97E-02,,184.41269,0.00E+00,,324.54607,0.00E+00,,209.78702,5.62E-02,,209.6665118,0.00E+00,,209.66651,0.00E+00,,209.7870178,6.45E-02,,209.7870178,8.11E-02,,202.7711639,0.00E+00,,209.6665118,0.00E+00
,2.10E+02,-6.23E-02,,2.10E+02,-6.23E-02,,209.8688662,-1.04E-01,,184.48220,0.00E+00,,324.66025,1.49E-03,,209.99054,-4.97E-02,,209.8688662,0.00E+00,,209.86887,0.00E+00,,209.9905396,-1.79E-02,,209.9905396,-2.25E-02,,202.9766388,0.00E+00,,209.8688662,0.00E+00
,2.10E+02,4.45E-02,,2.10E+02,4.45E-02,,210.0712393,1.26E-01,,184.55171,0.00E+00,,324.77442,0.00E+00,,210.19409,9.95E-03,,210.0712393,0.00E+00,,210.07124,0.00E+00,,210.1940918,6.52E-02,,210.1940918,8.19E-02,,203.1821136,0.00E+00,,210.0712393,0.00E+00
,2.10E+02,-7.73E-03,,2.10E+02,-7.73E-03,,210.273631,-5.84E-02,,184.62123,0.00E+00,,324.88859,3.73E-03,,210.39766,-2.75E-02,,210.273631,0.00E+00,,210.27363,0.00E+00,,210.3976593,1.50E-04,,210.3976593,1.88E-04,,203.387619,0.00E+00,,210.273631,0.00E+00
,2.11E+02,5.37E-02,,2.11E+02,5.37E-02,,210.4760412,9.80E-02,,184.69076,0.00E+00,,325.00276,0.00E+00,,210.60124,2.30E-02,,210.4760412,0.00E+00,,210.47604,0.00E+00,,210.6012421,3.06E-02,,210.6012421,3.84E-02,,203.5931244,0.00E+00,,210.4760412,0.00E+00
,2.11E+02,2.48E-02,,2.11E+02,2.48E-02,,210.6784701,1.21E-02,,184.76029,0.00E+00,,325.11693,1.19E-02,,210.80484,-5.70E-02,,210.6784701,0.00E+00,,210.67847,0.00E+00,,210.8048401,-3.13E-02,,210.8048401,-3.94E-02,,203.798645,0.00E+00,,210.6784701,0.00E+00
,2.11E+02,4.69E-02,,2.11E+02,4.69E-02,,210.8809175,1.45E-01,,184.82982,0.00E+00,,325.23109,0.00E+00,,211.00845,6.59E-02,,210.8809175,0.00E+00,,210.88092,0.00E+00,,211.0084534,4.68E-02,,211.0084534,5.88E-02,,204.0041962,0.00E+00,,210.8809175,0.00E+00
,2.11E+02,-2.54E-02,,2.11E+02,-2.54E-02,,211.0833836,-1.12E-01,,184.89936,0.00E+00,,325.34525,2.45E-02,,211.21208,-1.09E-01,,211.0833836,0.00E+00,,211.08338,0.00E+00,,211.2120819,-2.67E-02,,211.2120819,-3.36E-02,,204.2097473,0.00E+00,,211.0833836,0.00E+00
,2.11E+02,1.20E-01,,2.11E+02,1.20E-01,,211.2858682,3.84E-02,,184.96891,0.00E+00,,325.4594,0.00E+00,,211.41573,-1.54E-03,,211.2858682,0.00E+00,,211.28587,0.00E+00,,211.4157257,9.17E-02,,211.4157257,1.15E-01,,204.4153137,0.00E+00,,211.2858682,0.00E+00
,2.12E+02,1.08E-02,,2.12E+02,1.08E-02,,211.4883714,-6.23E-02,,185.03846,0.00E+00,,325.57355,0.00E+00,,211.61940,-2.19E-02,,211.4883714,0.00E+00,,211.48837,0.00E+00,,211.6194,-5.40E-02,,211.6194,-6.78E-02,,204.6208954,0.00E+00,,211.4883714,0.00E+00
,2.12E+02,6.12E-02,,2.12E+02,6.12E-02,,211.6908932,2.52E-02,,185.10802,0.00E+00,,325.6877,0.00E+00,,211.82307,1.11E-02,,211.6908932,0.00E+00,,211.69089,0.00E+00,,211.8230743,9.24E-02,,211.8230743,1.16E-01,,204.8264923,0.00E+00,,211.6908932,0.00E+00
,2.12E+02,4.53E-02,,2.12E+02,4.53E-02,,211.8934336,2.98E-02,,185.17758,0.00E+00,,325.80184,1.04E-02,,212.02678,-1.68E-03,,211.8934336,0.00E+00,,211.89343,0.00E+00,,212.0267792,-2.99E-02,,212.0267792,-3.76E-02,,205.0320892,0.00E+00,,211.8934336,0.00E+00
,2.12E+02,3.95E-02,,2.12E+02,3.95E-02,,212.0959925,1.60E-02,,185.24714,0.00E+00,,325.91598,0.00E+00,,212.23050,1.49E-02,,212.0959925,0.00E+00,,212.09599,0.00E+00,,212.2304993,5.25E-02,,212.2304993,6.59E-02,,205.2377167,0.00E+00,,212.0959925,0.00E+00
,2.12E+02,-2.01E-02,,2.12E+02,-2.01E-02,,212.29857,-5.51E-02,,185.31671,0.00E+00,,326.03012,0.00E+00,,212.43423,-6.86E-02,,212.29857,0.00E+00,,212.29857,0.00E+00,,212.4342346,7.92E-03,,212.4342346,9.96E-03,,205.4433594,0.00E+00,,212.29857,0.00E+00
,2.13E+02,3.12E-02,,2.13E+02,3.12E-02,,212.501166,-1.96E-04,,185.38629,0.00E+00,,326.14425,0.00E+00,,212.63799,3.39E-02,,212.501166,0.00E+00,,212.50117,0.00E+00,,212.6379852,3.76E-02,,212.6379852,4.73E-02,,205.6490021,0.00E+00,,212.501166,0.00E+00
,2.13E+02,-3.32E-02,,2.13E+02,-3.32E-02,,212.7037806,-8.90E-03,,185.45587,0.00E+00,,326.25838,6.34E-03,,212.84175,-3.51E-02,,212.7037806,0.00E+00,,212.70378,0.00E+00,,212.8417511,-3.17E-02,,212.8417511,-3.98E-02,,205.8546753,0.00E+00,,212.7037806,0.00E+00
,2.13E+02,2.68E-02,,2.13E+02,2.68E-02,,212.9064138,-1.17E-01,,185.52546,0.00E+00,,326.37251,0.00E+00,,213.04553,-3.66E-03,,212.9064138,0.00E+00,,212.90641,0.00E+00,,213.0455322,4.51E-02,,213.0455322,5.66E-02,,206.0603485,0.00E+00,,212.9064138,0.00E+00
,2.13E+02,3.94E-03,,2.13E+02,3.94E-03,,213.1090655,-4.43E-02,,185.59505,0.00E+00,,326.48663,6.71E-03,,213.24934,-5.45E-02,,213.1090655,0.00E+00,,213.10907,0.00E+00,,213.2493439,1.25E-02,,213.2493439,1.57E-02,,206.2660522,0.00E+00,,213.1090655,0.00E+00
,2.13E+02,6.34E-02,,2.13E+02,6.34E-02,,213.3117358,2.36E-01,,185.66465,0.00E+00,,326.60075,2.62E-03,,213.45316,-1.61E-02,,213.3117358,0.00E+00,,213.31174,0.00E+00,,213.4531555,4.72E-02,,213.4531555,5.93E-02,,206.471756,0.00E+00,,213.3117358,0.00E+00
,2.14E+02,1.48E-03,,2.14E+02,1.48E-03,,213.5144246,-6.38E-02,,185.73425,0.00E+00,,326.71487,2.17E-02,,213.65700,-3.32E-02,,213.5144246,0.00E+00,,213.51442,0.00E+00,,213.6569977,-1.19E-02,,213.6569977,-1.49E-02,,206.677475,0.00E+00,,213.5144246,0.00E+00
,2.14E+02,4.00E-02,,2.14E+02,4.00E-02,,213.7171319,2.22E-02,,185.80386,0.00E+00,,326.82898,1.46E-02,,213.86084,-4.08E-02,,213.7171319,0.00E+00,,213.71713,0.00E+00,,213.8608398,5.35E-02,,213.8608398,6.73E-02,,206.8832092,0.00E+00,,213.7171319,0.00E+00
,2.14E+02,1.27E-02,,2.14E+02,1.27E-02,,213.9198578,-5.37E-02,,185.87347,0.00E+00,,326.94309,5.59E-03,,214.06471,-4.44E-03,,213.9198578,0.00E+00,,213.91986,0.00E+00,,214.0647125,-5.50E-02,,214.0647125,-6.91E-02,,207.0889587,0.00E+00,,213.9198578,0.00E+00
,2.14E+02,4.68E-02,,2.14E+02,4.68E-02,,214.1226022,1.21E-01,,185.94309,0.00E+00,,327.0572,0.00E+00,,214.26860,9.10E-02,,214.1226022,0.00E+00,,214.1226,0.00E+00,,214.2686005,4.05E-02,,214.2686005,5.08E-02,,207.2947235,0.00E+00,,214.1226022,0.00E+00
,2.14E+02,-3.70E-02,,2.14E+02,-3.70E-02,,214.3253651,2.11E-02,,186.01271,0.00E+00,,327.1713,1.71E-02,,214.47250,-2.77E-03,,214.3253651,0.00E+00,,214.32537,0.00E+00,,214.4725037,2.03E-02,,214.4725037,2.55E-02,,207.5005035,0.00E+00,,214.3253651,0.00E+00
,2.15E+02,5.80E-02,,2.15E+02,5.80E-02,,214.5281465,2.53E-02,,186.08234,0.00E+00,,327.2854,6.35E-03,,214.67642,1.54E-03,,214.5281465,0.00E+00,,214.52815,0.00E+00,,214.6764221,5.81E-03,,214.6764221,7.30E-03,,207.7062988,0.00E+00,,214.5281465,0.00E+00
